x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
396.5,241,1,18,lewisleftlower,3
396.5,242,1,46,lewisleftlower,3
395.5,242,1,71,lewisleftlower,3
395.5,241,1,23,lewisleftlower,3
394.5,240,1,113,lewisleftlower,3
393.5,239,1,11,lewisleftlower,3
392.5,238,1,15,lewisleftlower,3
390.5,236,1,16,lewisleftlower,3
389.5,234,1,17,lewisleftlower,3
387.5,233,1,17,lewisleftlower,3
384.5,232,1,17,lewisleftlower,3
382.5,230,1,16,lewisleftlower,3
380.5,229,1,17,lewisleftlower,3
379.5,229,1,16,lewisleftlower,3
379.5,228,1,17,lewisleftlower,3
378.5,228,1,17,lewisleftlower,3
377.5,228,1,19,lewisleftlower,3
376.5,228,1,14,lewisleftlower,3
374.5,228,1,17,lewisleftlower,3
371.5,227,1,17,lewisleftlower,3
368.5,227,1,16,lewisleftlower,3
365.5,227,1,17,lewisleftlower,3
362.5,227,1,16,lewisleftlower,3
360.5,227,1,17,lewisleftlower,3
357.5,228,1,17,lewisleftlower,3
355.5,228,1,17,lewisleftlower,3
353.5,229,1,16,lewisleftlower,3
351.5,230,1,17,lewisleftlower,3
349.5,230,1,16,lewisleftlower,3
347.5,231,1,17,lewisleftlower,3
346.5,232,1,17,lewisleftlower,3
345.5,232,1,17,lewisleftlower,3
344.5,233,1,16,lewisleftlower,3
342.5,234,1,17,lewisleftlower,3
341.5,235,1,17,lewisleftlower,3
341.5,236,1,16,lewisleftlower,3
340.5,237,1,17,lewisleftlower,3
339.5,238,1,17,lewisleftlower,3
338.5,239,1,16,lewisleftlower,3
337.5,241,1,17,lewisleftlower,3
336.5,242,1,17,lewisleftlower,3
334.5,244,1,17,lewisleftlower,3
334.5,245,1,16,lewisleftlower,3
333.5,246,1,17,lewisleftlower,3
332.5,247,1,16,lewisleftlower,3
332.5,248,1,17,lewisleftlower,3
331.5,249,1,16,lewisleftlower,3
331.5,250,1,17,lewisleftlower,3
330.5,252,1,17,lewisleftlower,3
330.5,254,1,17,lewisleftlower,3
329.5,256,1,16,lewisleftlower,3
329.5,257,1,17,lewisleftlower,3
329.5,259,1,17,lewisleftlower,3
329.5,261,1,16,lewisleftlower,3
329.5,263,1,17,lewisleftlower,3
329.5,264,1,17,lewisleftlower,3
329.5,266,1,16,lewisleftlower,3
329.5,269,1,17,lewisleftlower,3
329.5,271,1,17,lewisleftlower,3
329.5,273,1,16,lewisleftlower,3
330.5,275,1,17,lewisleftlower,3
330.5,278,1,17,lewisleftlower,3
332.5,282,1,16,lewisleftlower,3
334.5,287,1,17,lewisleftlower,3
336.5,291,1,16,lewisleftlower,3
339.5,294,1,17,lewisleftlower,3
341.5,296,1,17,lewisleftlower,3
342.5,298,1,17,lewisleftlower,3
346.5,302,1,16,lewisleftlower,3
349.5,306,1,17,lewisleftlower,3
351.5,308,1,17,lewisleftlower,3
353.5,310,1,16,lewisleftlower,3
355.5,312,1,17,lewisleftlower,3
358.5,313,1,16,lewisleftlower,3
360.5,315,1,17,lewisleftlower,3
361.5,315,1,17,lewisleftlower,3
362.5,316,1,17,lewisleftlower,3
364.5,316,1,16,lewisleftlower,3
366.5,317,1,17,lewisleftlower,3
368.5,317,1,17,lewisleftlower,3
371.5,317,1,16,lewisleftlower,3
373.5,318,1,17,lewisleftlower,3
376.5,318,1,17,lewisleftlower,3
378.5,318,1,16,lewisleftlower,3
381.5,318,1,17,lewisleftlower,3
384.5,318,1,17,lewisleftlower,3
387.5,318,1,16,lewisleftlower,3
390.5,317,1,17,lewisleftlower,3
393.5,316,1,17,lewisleftlower,3
396.5,314,1,16,lewisleftlower,3
399.5,313,1,17,lewisleftlower,3
401.5,312,1,17,lewisleftlower,3
403.5,310,1,16,lewisleftlower,3
404.5,308,1,17,lewisleftlower,3
405.5,307,1,17,lewisleftlower,3
406.5,305,1,16,lewisleftlower,3
408.5,303,1,17,lewisleftlower,3
409.5,302,1,17,lewisleftlower,3
410.5,300,1,16,lewisleftlower,3
411.5,297,1,17,lewisleftlower,3
411.5,293,1,17,lewisleftlower,3
411.5,288,1,16,lewisleftlower,3
409.5,284,1,17,lewisleftlower,3
396.5,241,1,18,lewisleftlower,3
396.5,242,1,46,lewisleftlower,3
395.5,242,1,71,lewisleftlower,3
395.5,241,1,23,lewisleftlower,3
394.5,240,1,113,lewisleftlower,3
393.5,239,1,11,lewisleftlower,3
392.5,238,1,15,lewisleftlower,3
390.5,236,1,16,lewisleftlower,3
389.5,234,1,17,lewisleftlower,3
387.5,233,1,17,lewisleftlower,3
384.5,232,1,17,lewisleftlower,3
382.5,230,1,16,lewisleftlower,3
380.5,229,1,17,lewisleftlower,3
379.5,229,1,16,lewisleftlower,3
379.5,228,1,17,lewisleftlower,3
378.5,228,1,17,lewisleftlower,3
377.5,228,1,19,lewisleftlower,3
376.5,228,1,14,lewisleftlower,3
374.5,228,1,17,lewisleftlower,3
371.5,227,1,17,lewisleftlower,3
368.5,227,1,16,lewisleftlower,3
365.5,227,1,17,lewisleftlower,3
362.5,227,1,16,lewisleftlower,3
360.5,227,1,17,lewisleftlower,3
357.5,228,1,17,lewisleftlower,3
355.5,228,1,17,lewisleftlower,3
353.5,229,1,16,lewisleftlower,3
351.5,230,1,17,lewisleftlower,3
349.5,230,1,16,lewisleftlower,3
347.5,231,1,17,lewisleftlower,3
346.5,232,1,17,lewisleftlower,3
345.5,232,1,17,lewisleftlower,3
344.5,233,1,16,lewisleftlower,3
342.5,234,1,17,lewisleftlower,3
341.5,235,1,17,lewisleftlower,3
341.5,236,1,16,lewisleftlower,3
340.5,237,1,17,lewisleftlower,3
339.5,238,1,17,lewisleftlower,3
338.5,239,1,16,lewisleftlower,3
337.5,241,1,17,lewisleftlower,3
336.5,242,1,17,lewisleftlower,3
334.5,244,1,17,lewisleftlower,3
334.5,245,1,16,lewisleftlower,3
333.5,246,1,17,lewisleftlower,3
332.5,247,1,16,lewisleftlower,3
332.5,248,1,17,lewisleftlower,3
331.5,249,1,16,lewisleftlower,3
331.5,250,1,17,lewisleftlower,3
330.5,252,1,17,lewisleftlower,3
330.5,254,1,17,lewisleftlower,3
329.5,256,1,16,lewisleftlower,3
329.5,257,1,17,lewisleftlower,3
329.5,259,1,17,lewisleftlower,3
329.5,261,1,16,lewisleftlower,3
329.5,263,1,17,lewisleftlower,3
329.5,264,1,17,lewisleftlower,3
329.5,266,1,16,lewisleftlower,3
329.5,269,1,17,lewisleftlower,3
329.5,271,1,17,lewisleftlower,3
329.5,273,1,16,lewisleftlower,3
330.5,275,1,17,lewisleftlower,3
330.5,278,1,17,lewisleftlower,3
332.5,282,1,16,lewisleftlower,3
334.5,287,1,17,lewisleftlower,3
336.5,291,1,16,lewisleftlower,3
339.5,294,1,17,lewisleftlower,3
341.5,296,1,17,lewisleftlower,3
342.5,298,1,17,lewisleftlower,3
346.5,302,1,16,lewisleftlower,3
349.5,306,1,17,lewisleftlower,3
351.5,308,1,17,lewisleftlower,3
353.5,310,1,16,lewisleftlower,3
355.5,312,1,17,lewisleftlower,3
358.5,313,1,16,lewisleftlower,3
360.5,315,1,17,lewisleftlower,3
361.5,315,1,17,lewisleftlower,3
362.5,316,1,17,lewisleftlower,3
364.5,316,1,16,lewisleftlower,3
366.5,317,1,17,lewisleftlower,3
368.5,317,1,17,lewisleftlower,3
371.5,317,1,16,lewisleftlower,3
373.5,318,1,17,lewisleftlower,3
376.5,318,1,17,lewisleftlower,3
378.5,318,1,16,lewisleftlower,3
381.5,318,1,17,lewisleftlower,3
384.5,318,1,17,lewisleftlower,3
387.5,318,1,16,lewisleftlower,3
390.5,317,1,17,lewisleftlower,3
393.5,316,1,17,lewisleftlower,3
396.5,314,1,16,lewisleftlower,3
399.5,313,1,17,lewisleftlower,3
401.5,312,1,17,lewisleftlower,3
403.5,310,1,16,lewisleftlower,3
404.5,308,1,17,lewisleftlower,3
405.5,307,1,17,lewisleftlower,3
406.5,305,1,16,lewisleftlower,3
408.5,303,1,17,lewisleftlower,3
409.5,302,1,17,lewisleftlower,3
410.5,300,1,16,lewisleftlower,3
411.5,297,1,17,lewisleftlower,3
411.5,293,1,17,lewisleftlower,3
411.5,288,1,16,lewisleftlower,3
409.5,284,1,17,lewisleftlower,3
