x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
389.5,281,2,30,lewisrightlower,6
389.5,280,2,57,lewisrightlower,6
390.5,280,2,15,lewisrightlower,6
389.5,279,2,16,lewisrightlower,6
389.5,277,2,17,lewisrightlower,6
389.5,275,2,16,lewisrightlower,6
389.5,273,2,17,lewisrightlower,6
389.5,270,2,17,lewisrightlower,6
390.5,267,2,16,lewisrightlower,6
390.5,264,2,17,lewisrightlower,6
390.5,261,2,17,lewisrightlower,6
390.5,259,2,17,lewisrightlower,6
390.5,256,2,16,lewisrightlower,6
390.5,255,2,17,lewisrightlower,6
390.5,253,2,16,lewisrightlower,6
390.5,251,2,17,lewisrightlower,6
390.5,248,2,17,lewisrightlower,6
391.5,246,2,16,lewisrightlower,6
391.5,243,2,17,lewisrightlower,6
391.5,242,2,17,lewisrightlower,6
391.5,240,2,16,lewisrightlower,6
391.5,238,2,17,lewisrightlower,6
390.5,236,2,17,lewisrightlower,6
391.5,234,2,16,lewisrightlower,6
391.5,231,2,17,lewisrightlower,6
391.5,228,2,17,lewisrightlower,6
391.5,226,2,16,lewisrightlower,6
391.5,224,2,17,lewisrightlower,6
391.5,222,2,17,lewisrightlower,6
391.5,221,2,16,lewisrightlower,6
391.5,219,2,17,lewisrightlower,6
392.5,218,2,17,lewisrightlower,6
392.5,216,2,16,lewisrightlower,6
392.5,214,2,17,lewisrightlower,6
392.5,213,2,17,lewisrightlower,6
393.5,211,2,16,lewisrightlower,6
393.5,210,2,17,lewisrightlower,6
393.5,209,2,17,lewisrightlower,6
394.5,207,2,16,lewisrightlower,6
395.5,205,2,17,lewisrightlower,6
395.5,204,2,17,lewisrightlower,6
396.5,203,2,16,lewisrightlower,6
397.5,202,2,17,lewisrightlower,6
397.5,201,2,17,lewisrightlower,6
398.5,199,2,16,lewisrightlower,6
399.5,197,2,17,lewisrightlower,6
401.5,195,2,17,lewisrightlower,6
402.5,194,2,16,lewisrightlower,6
403.5,194,2,17,lewisrightlower,6
403.5,193,2,17,lewisrightlower,6
404.5,193,2,16,lewisrightlower,6
406.5,193,2,17,lewisrightlower,6
407.5,192,2,17,lewisrightlower,6
410.5,192,2,17,lewisrightlower,6
412.5,193,2,16,lewisrightlower,6
414.5,193,2,17,lewisrightlower,6
416.5,193,2,17,lewisrightlower,6
418.5,194,2,16,lewisrightlower,6
419.5,195,2,17,lewisrightlower,6
421.5,196,2,16,lewisrightlower,6
423.5,197,2,17,lewisrightlower,6
425.5,198,2,17,lewisrightlower,6
425.5,199,2,16,lewisrightlower,6
427.5,201,2,17,lewisrightlower,6
427.5,203,2,17,lewisrightlower,6
428.5,205,2,16,lewisrightlower,6
428.5,207,2,17,lewisrightlower,6
429.5,209,2,17,lewisrightlower,6
430.5,210,2,16,lewisrightlower,6
430.5,211,2,17,lewisrightlower,6
430.5,212,2,17,lewisrightlower,6
430.5,211,2,19,lewisrightlower,6
430.5,212,2,16,lewisrightlower,6
430.5,212,2,15,lewisrightlower,6
429.5,213,2,16,lewisrightlower,6
391.5,245,2,21,lewisrightlower,6
392.5,245,2,45,lewisrightlower,6
393.5,245,2,24,lewisrightlower,6
393.5,244,2,3,lewisrightlower,6
394.5,244,2,14,lewisrightlower,6
395.5,244,2,17,lewisrightlower,6
397.5,244,2,17,lewisrightlower,6
399.5,243,2,17,lewisrightlower,6
400.5,243,2,1,lewisrightlower,6
402.5,243,2,15,lewisrightlower,6
405.5,243,2,17,lewisrightlower,6
407.5,243,2,16,lewisrightlower,6
410.5,244,2,17,lewisrightlower,6
413.5,244,2,17,lewisrightlower,6
415.5,244,2,16,lewisrightlower,6
419.5,244,2,17,lewisrightlower,6
421.5,244,2,17,lewisrightlower,6
423.5,244,2,16,lewisrightlower,6
425.5,244,2,17,lewisrightlower,6
426.5,244,2,16,lewisrightlower,6
427.5,244,2,17,lewisrightlower,6
428.5,244,2,28,lewisrightlower,6
389.5,281,2,30,lewisrightlower,6
389.5,280,2,57,lewisrightlower,6
390.5,280,2,15,lewisrightlower,6
389.5,279,2,16,lewisrightlower,6
389.5,277,2,17,lewisrightlower,6
389.5,275,2,16,lewisrightlower,6
389.5,273,2,17,lewisrightlower,6
389.5,270,2,17,lewisrightlower,6
390.5,267,2,16,lewisrightlower,6
390.5,264,2,17,lewisrightlower,6
390.5,261,2,17,lewisrightlower,6
390.5,259,2,17,lewisrightlower,6
390.5,256,2,16,lewisrightlower,6
390.5,255,2,17,lewisrightlower,6
390.5,253,2,16,lewisrightlower,6
390.5,251,2,17,lewisrightlower,6
390.5,248,2,17,lewisrightlower,6
391.5,246,2,16,lewisrightlower,6
391.5,243,2,17,lewisrightlower,6
391.5,242,2,17,lewisrightlower,6
391.5,240,2,16,lewisrightlower,6
391.5,238,2,17,lewisrightlower,6
390.5,236,2,17,lewisrightlower,6
391.5,234,2,16,lewisrightlower,6
391.5,231,2,17,lewisrightlower,6
391.5,228,2,17,lewisrightlower,6
391.5,226,2,16,lewisrightlower,6
391.5,224,2,17,lewisrightlower,6
391.5,222,2,17,lewisrightlower,6
391.5,221,2,16,lewisrightlower,6
391.5,219,2,17,lewisrightlower,6
392.5,218,2,17,lewisrightlower,6
392.5,216,2,16,lewisrightlower,6
392.5,214,2,17,lewisrightlower,6
392.5,213,2,17,lewisrightlower,6
393.5,211,2,16,lewisrightlower,6
393.5,210,2,17,lewisrightlower,6
393.5,209,2,17,lewisrightlower,6
394.5,207,2,16,lewisrightlower,6
395.5,205,2,17,lewisrightlower,6
395.5,204,2,17,lewisrightlower,6
396.5,203,2,16,lewisrightlower,6
397.5,202,2,17,lewisrightlower,6
397.5,201,2,17,lewisrightlower,6
398.5,199,2,16,lewisrightlower,6
399.5,197,2,17,lewisrightlower,6
401.5,195,2,17,lewisrightlower,6
402.5,194,2,16,lewisrightlower,6
403.5,194,2,17,lewisrightlower,6
403.5,193,2,17,lewisrightlower,6
404.5,193,2,16,lewisrightlower,6
406.5,193,2,17,lewisrightlower,6
407.5,192,2,17,lewisrightlower,6
410.5,192,2,17,lewisrightlower,6
412.5,193,2,16,lewisrightlower,6
414.5,193,2,17,lewisrightlower,6
416.5,193,2,17,lewisrightlower,6
418.5,194,2,16,lewisrightlower,6
419.5,195,2,17,lewisrightlower,6
421.5,196,2,16,lewisrightlower,6
423.5,197,2,17,lewisrightlower,6
425.5,198,2,17,lewisrightlower,6
425.5,199,2,16,lewisrightlower,6
427.5,201,2,17,lewisrightlower,6
427.5,203,2,17,lewisrightlower,6
428.5,205,2,16,lewisrightlower,6
428.5,207,2,17,lewisrightlower,6
429.5,209,2,17,lewisrightlower,6
430.5,210,2,16,lewisrightlower,6
430.5,211,2,17,lewisrightlower,6
430.5,212,2,17,lewisrightlower,6
430.5,211,2,19,lewisrightlower,6
430.5,212,2,16,lewisrightlower,6
430.5,212,2,15,lewisrightlower,6
429.5,213,2,16,lewisrightlower,6
391.5,245,2,21,lewisrightlower,6
392.5,245,2,45,lewisrightlower,6
393.5,245,2,24,lewisrightlower,6
393.5,244,2,3,lewisrightlower,6
394.5,244,2,14,lewisrightlower,6
395.5,244,2,17,lewisrightlower,6
397.5,244,2,17,lewisrightlower,6
399.5,243,2,17,lewisrightlower,6
400.5,243,2,1,lewisrightlower,6
402.5,243,2,15,lewisrightlower,6
405.5,243,2,17,lewisrightlower,6
407.5,243,2,16,lewisrightlower,6
410.5,244,2,17,lewisrightlower,6
413.5,244,2,17,lewisrightlower,6
415.5,244,2,16,lewisrightlower,6
419.5,244,2,17,lewisrightlower,6
421.5,244,2,17,lewisrightlower,6
423.5,244,2,16,lewisrightlower,6
425.5,244,2,17,lewisrightlower,6
426.5,244,2,16,lewisrightlower,6
427.5,244,2,17,lewisrightlower,6
