x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
290.5,183,1,50,lewisleftupper,22
291.5,184,1,41,lewisleftupper,22
291.5,185,1,16,lewisleftupper,22
292.5,186,1,17,lewisleftupper,22
292.5,187,1,18,lewisleftupper,22
292.5,188,1,15,lewisleftupper,22
293.5,189,1,17,lewisleftupper,22
293.5,190,1,20,lewisleftupper,22
294.5,190,1,20,lewisleftupper,22
294.5,191,1,12,lewisleftupper,22
294.5,192,1,16,lewisleftupper,22
295.5,192,1,15,lewisleftupper,22
295.5,193,1,17,lewisleftupper,22
296.5,194,1,17,lewisleftupper,22
297.5,195,1,16,lewisleftupper,22
297.5,196,1,17,lewisleftupper,22
298.5,196,1,17,lewisleftupper,22
299.5,197,1,16,lewisleftupper,22
300.5,199,1,17,lewisleftupper,22
301.5,200,1,17,lewisleftupper,22
302.5,201,1,16,lewisleftupper,22
303.5,202,1,17,lewisleftupper,22
303.5,203,1,17,lewisleftupper,22
305.5,204,1,16,lewisleftupper,22
306.5,206,1,17,lewisleftupper,22
307.5,207,1,17,lewisleftupper,22
309.5,209,1,16,lewisleftupper,22
310.5,210,1,17,lewisleftupper,22
311.5,211,1,17,lewisleftupper,22
312.5,212,1,16,lewisleftupper,22
313.5,214,1,17,lewisleftupper,22
314.5,215,1,17,lewisleftupper,22
316.5,216,1,16,lewisleftupper,22
317.5,218,1,17,lewisleftupper,22
318.5,219,1,17,lewisleftupper,22
319.5,220,1,16,lewisleftupper,22
321.5,222,1,17,lewisleftupper,22
322.5,224,1,16,lewisleftupper,22
323.5,225,1,17,lewisleftupper,22
324.5,226,1,16,lewisleftupper,22
324.5,227,1,17,lewisleftupper,22
325.5,228,1,17,lewisleftupper,22
326.5,230,1,16,lewisleftupper,22
327.5,231,1,17,lewisleftupper,22
328.5,233,1,17,lewisleftupper,22
329.5,234,1,17,lewisleftupper,22
330.5,236,1,17,lewisleftupper,22
330.5,237,1,16,lewisleftupper,22
331.5,239,1,17,lewisleftupper,22
332.5,241,1,17,lewisleftupper,22
333.5,242,1,16,lewisleftupper,22
