x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
361.5,195,2,22,lewisrightupper,2
361.5,197,2,50,lewisrightupper,2
361.5,199,2,17,lewisrightupper,2
360.5,201,2,16,lewisrightupper,2
359.5,204,2,17,lewisrightupper,2
358.5,208,2,16,lewisrightupper,2
357.5,212,2,17,lewisrightupper,2
355.5,217,2,17,lewisrightupper,2
353.5,222,2,17,lewisrightupper,2
352.5,226,2,16,lewisrightupper,2
351.5,229,2,17,lewisrightupper,2
350.5,234,2,16,lewisrightupper,2
350.5,237,2,17,lewisrightupper,2
349.5,240,2,17,lewisrightupper,2
348.5,243,2,16,lewisrightupper,2
347.5,245,2,17,lewisrightupper,2
346.5,248,2,17,lewisrightupper,2
345.5,251,2,16,lewisrightupper,2
345.5,253,2,17,lewisrightupper,2
344.5,256,2,17,lewisrightupper,2
343.5,259,2,17,lewisrightupper,2
342.5,261,2,16,lewisrightupper,2
342.5,263,2,17,lewisrightupper,2
341.5,266,2,16,lewisrightupper,2
340.5,268,2,17,lewisrightupper,2
340.5,270,2,17,lewisrightupper,2
339.5,272,2,17,lewisrightupper,2
339.5,273,2,16,lewisrightupper,2
338.5,274,2,17,lewisrightupper,2
338.5,275,2,16,lewisrightupper,2
338.5,276,2,28,lewisrightupper,2
338.5,275,2,39,lewisrightupper,2
338.5,274,2,21,lewisrightupper,2
359.5,193,2,118,lewisrightupper,2
360.5,193,2,4,lewisrightupper,2
360.5,192,2,17,lewisrightupper,2
361.5,191,2,17,lewisrightupper,2
362.5,190,2,17,lewisrightupper,2
363.5,189,2,16,lewisrightupper,2
364.5,187,2,17,lewisrightupper,2
366.5,186,2,17,lewisrightupper,2
368.5,184,2,16,lewisrightupper,2
370.5,183,2,17,lewisrightupper,2
372.5,182,2,16,lewisrightupper,2
374.5,181,2,17,lewisrightupper,2
376.5,180,2,17,lewisrightupper,2
378.5,179,2,16,lewisrightupper,2
381.5,178,2,17,lewisrightupper,2
382.5,178,2,17,lewisrightupper,2
384.5,178,2,16,lewisrightupper,2
385.5,178,2,17,lewisrightupper,2
387.5,178,2,17,lewisrightupper,2
389.5,179,2,16,lewisrightupper,2
