x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
300.5,258,1,178,participantleft,29
299.5,258,1,42,participantleft,29
298.5,258,1,17,participantleft,29
297.5,258,1,16,participantleft,29
296.5,257,1,17,participantleft,29
295.5,257,1,16,participantleft,29
294.5,257,1,64,participantleft,29
292.5,256,1,36,participantleft,29
291.5,256,1,24,participantleft,29
290.5,256,1,20,participantleft,29
289.5,256,1,20,participantleft,29
289.5,255,1,3,participantleft,29
288.5,255,1,17,participantleft,29
287.5,255,1,17,participantleft,29
286.5,255,1,19,participantleft,29
286.5,254,1,14,participantleft,29
285.5,254,1,17,participantleft,29
284.5,254,1,16,participantleft,29
283.5,254,1,17,participantleft,29
282.5,253,1,16,participantleft,29
281.5,253,1,24,participantleft,29
280.5,253,1,43,participantleft,29
280.5,252,1,17,participantleft,29
279.5,252,1,17,participantleft,29
278.5,251,1,16,participantleft,29
277.5,251,1,17,participantleft,29
276.5,250,1,17,participantleft,29
275.5,250,1,16,participantleft,29
274.5,249,1,17,participantleft,29
273.5,249,1,16,participantleft,29
272.5,248,1,17,participantleft,29
271.5,248,1,18,participantleft,29
271.5,247,1,15,participantleft,29
270.5,247,1,26,participantleft,29
270.5,246,1,12,participantleft,29
269.5,246,1,20,participantleft,29
269.5,245,1,9,participantleft,29
268.5,244,1,17,participantleft,29
267.5,244,1,17,participantleft,29
266.5,243,1,16,participantleft,29
265.5,242,1,17,participantleft,29
264.5,241,1,17,participantleft,29
263.5,240,1,16,participantleft,29
262.5,239,1,17,participantleft,29
261.5,238,1,17,participantleft,29
261.5,237,1,17,participantleft,29
260.5,236,1,16,participantleft,29
259.5,236,1,16,participantleft,29
259.5,235,1,17,participantleft,29
258.5,234,1,17,participantleft,29
257.5,233,1,16,participantleft,29
257.5,232,1,22,participantleft,29
256.5,232,1,12,participantleft,29
256.5,231,1,20,participantleft,29
255.5,231,1,13,participantleft,29
255.5,230,1,17,participantleft,29
254.5,230,1,17,participantleft,29
254.5,229,1,16,participantleft,29
253.5,229,1,17,participantleft,29
253.5,228,1,17,participantleft,29
252.5,228,1,16,participantleft,29
252.5,227,1,17,participantleft,29
251.5,227,1,17,participantleft,29
251.5,226,1,16,participantleft,29
250.5,226,1,17,participantleft,29
250.5,225,1,16,participantleft,29
249.5,225,1,17,participantleft,29
249.5,224,1,17,participantleft,29
248.5,224,1,17,participantleft,29
247.5,223,1,16,participantleft,29
247.5,222,1,17,participantleft,29
246.5,222,1,16,participantleft,29
246.5,221,1,17,participantleft,29
245.5,220,1,17,participantleft,29
245.5,219,1,17,participantleft,29
244.5,219,1,16,participantleft,29
244.5,218,1,17,participantleft,29
243.5,217,1,17,participantleft,29
242.5,216,1,23,participantleft,29
242.5,215,1,16,participantleft,29
241.5,215,1,13,participantleft,29
241.5,214,1,14,participantleft,29
241.5,213,1,17,participantleft,29
240.5,212,1,16,participantleft,29
240.5,211,1,24,participantleft,29
239.5,211,1,12,participantleft,29
