x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
313.5,259,1,26,participantright,29
312.5,259,1,45,participantright,29
311.5,259,1,23,participantright,29
310.5,259,1,41,participantright,29
310.5,258,1,16,participantright,29
309.5,258,1,17,participantright,29
308.5,258,1,18,participantright,29
307.5,258,1,24,participantright,29
306.5,258,1,41,participantright,29
305.5,258,1,17,participantright,29
304.5,257,1,16,participantright,29
303.5,257,1,17,participantright,29
303.5,256,1,17,participantright,29
302.5,256,1,16,participantright,29
302.5,255,1,17,participantright,29
301.5,255,1,19,participantright,29
300.5,255,1,28,participantright,29
300.5,254,1,4,participantright,29
299.5,254,1,49,participantright,29
298.5,254,1,17,participantright,29
298.5,253,1,18,participantright,29
297.5,253,1,15,participantright,29
296.5,253,1,21,participantright,29
295.5,253,1,28,participantright,29
294.5,253,1,24,participantright,29
294.5,252,1,12,participantright,29
293.5,252,1,15,participantright,29
292.5,252,1,17,participantright,29
291.5,252,1,16,participantright,29
290.5,251,1,17,participantright,29
289.5,251,1,23,participantright,29
288.5,251,1,24,participantright,29
287.5,251,1,36,participantright,29
286.5,251,1,17,participantright,29
285.5,250,1,17,participantright,29
285.5,250,1,16,participantright,29
284.5,250,1,17,participantright,29
283.5,250,1,17,participantright,29
282.5,250,1,16,participantright,29
281.5,250,1,17,participantright,29
280.5,250,1,17,participantright,29
279.5,250,1,16,participantright,29
279.5,249,1,26,participantright,29
278.5,249,1,8,participantright,29
277.5,249,1,20,participantright,29
276.5,249,1,20,participantright,29
275.5,249,1,20,participantright,29
274.5,248,1,16,participantright,29
273.5,248,1,20,participantright,29
272.5,248,1,37,participantright,29
271.5,247,1,17,participantright,29
270.5,247,1,16,participantright,29
269.5,247,1,17,participantright,29
269.5,246,1,18,participantright,29
268.5,246,1,15,participantright,29
268.5,245,1,20,participantright,29
267.5,245,1,14,participantright,29
267.5,244,1,18,participantright,29
266.5,244,1,15,participantright,29
266.5,243,1,21,participantright,29
265.5,243,1,12,participantright,29
265.5,242,1,20,participantright,29
264.5,242,1,24,participantright,29
264.5,241,1,20,participantright,29
264.5,240,1,36,participantright,29
263.5,239,1,17,participantright,29
263.5,238,1,17,participantright,29
262.5,237,1,50,participantright,29
262.5,236,1,16,participantright,29
261.5,235,1,17,participantright,29
261.5,234,1,17,participantright,29
260.5,233,1,17,participantright,29
260.5,232,1,16,participantright,29
259.5,230,1,17,participantright,29
259.5,229,1,16,participantright,29
259.5,228,1,17,participantright,29
258.5,227,1,17,participantright,29
258.5,226,1,16,participantright,29
258.5,225,1,30,participantright,29
258.5,224,1,37,participantright,29
257.5,224,1,17,participantright,29
257.5,223,1,16,participantright,29
256.5,223,1,22,participantright,29
256.5,222,1,16,participantright,29
255.5,222,1,12,participantright,29
254.5,222,1,28,participantright,29
254.5,221,1,8,participantright,29
253.5,221,1,20,participantright,29
253.5,220,1,16,participantright,29
252.5,220,1,12,participantright,29
252.5,219,1,16,participantright,29
251.5,219,1,17,participantright,29
251.5,218,1,17,participantright,29
250.5,218,1,16,participantright,29
249.5,218,1,17,participantright,29
249.5,217,1,17,participantright,29
248.5,217,1,16,participantright,29
247.5,216,1,17,participantright,29
246.5,216,1,17,participantright,29
245.5,215,1,17,participantright,29
244.5,215,1,17,participantright,29
244.5,214,1,16,participantright,29
243.5,213,1,16,participantright,29
242.5,212,1,17,participantright,29
241.5,212,1,17,participantright,29
241.5,211,1,16,participantright,29
240.5,211,1,17,participantright,29
240.5,210,1,17,participantright,29
240.5,209,1,21,participantright,29
239.5,209,1,12,participantright,29
239.5,208,1,17,participantright,29
238.5,207,1,16,participantright,29
238.5,206,1,17,participantright,29
237.5,205,1,17,participantright,29
237.5,204,1,16,participantright,29
236.5,204,1,24,participantright,29
236.5,203,1,12,participantright,29
236.5,202,1,85,participantright,29
235.5,202,1,13,participantright,29
235.5,201,1,16,participantright,29
235.5,200,1,17,participantright,29
234.5,199,1,17,participantright,29
234.5,198,1,24,participantright,29
233.5,198,1,9,participantright,29
233.5,197,1,23,participantright,29
233.5,196,1,20,participantright,29
232.5,195,1,16,participantright,29
232.5,194,1,17,participantright,29
232.5,193,1,19,participantright,29
232.5,192,1,16,participantright,29
232.5,191,1,12,participantright,29
232.5,190,1,16,participantright,29
232.5,189,1,13,participantright,29
232.5,188,1,15,participantright,29
231.5,186,1,16,participantright,29
232.5,184,1,17,participantright,29
232.5,182,1,17,participantright,29
232.5,181,1,16,participantright,29
232.5,180,1,17,participantright,29
232.5,179,1,17,participantright,29
232.5,178,1,16,participantright,29
232.5,177,1,17,participantright,29
232.5,176,1,17,participantright,29
232.5,175,1,50,participantright,29
232.5,174,1,24,participantright,29
233.5,174,1,24,participantright,29
233.5,173,1,4,participantright,29
233.5,172,1,20,participantright,29
233.5,171,1,16,participantright,29
234.5,171,1,12,participantright,29
234.5,169,1,17,participantright,29
234.5,168,1,19,participantright,29
235.5,167,1,47,participantright,29
235.5,166,1,222,participantright,29
235.5,165,1,15,participantright,29
235.5,164,1,16,participantright,29
236.5,163,1,20,participantright,29
236.5,162,1,44,participantright,29
236.5,161,1,109,participantright,29
236.5,160,1,19,participantright,29
236.5,159,1,16,participantright,29
236.5,158,1,20,participantright,29
236.5,157,1,16,participantright,29
236.5,156,1,36,participantright,29
236.5,155,1,57,participantright,29
236.5,154,1,19,participantright,29
237.5,154,1,8,participantright,29
237.5,153,1,16,participantright,29
237.5,152,1,17,participantright,29
237.5,151,1,17,participantright,29
237.5,150,1,17,participantright,29
237.5,149,1,16,participantright,29
237.5,148,1,17,participantright,29
238.5,147,1,16,participantright,29
238.5,146,1,17,participantright,29
238.5,145,1,17,participantright,29
238.5,144,1,16,participantright,29
239.5,143,1,17,participantright,29
239.5,142,1,17,participantright,29
239.5,141,1,16,participantright,29
240.5,140,1,17,participantright,29
240.5,139,1,17,participantright,29
241.5,139,1,16,participantright,29
241.5,138,1,17,participantright,29
241.5,139,1,17,participantright,29
241.5,138,1,24,participantright,29
242.5,138,1,20,participantright,29
242.5,137,1,16,participantright,29
243.5,137,1,8,participantright,29
243.5,136,1,16,participantright,29
244.5,135,1,24,participantright,29
244.5,134,1,16,participantright,29
244.5,133,1,16,participantright,29
244.5,132,1,12,participantright,29
245.5,132,1,14,participantright,29
245.5,131,1,17,participantright,29
245.5,130,1,17,participantright,29
245.5,129,1,20,participantright,29
246.5,128,1,20,participantright,29
246.5,127,1,16,participantright,29
247.5,127,1,116,participantright,29
247.5,126,1,11,participantright,29
248.5,126,1,17,participantright,29
249.5,125,1,16,participantright,29
250.5,124,1,17,participantright,29
252.5,123,1,17,participantright,29
253.5,122,1,16,participantright,29
254.5,121,1,17,participantright,29
255.5,120,1,17,participantright,29
256.5,119,1,20,participantright,29
257.5,118,1,46,participantright,29
258.5,117,1,50,participantright,29
259.5,117,1,20,participantright,29
260.5,116,1,24,participantright,29
261.5,116,1,40,participantright,29
261.5,115,1,16,participantright,29
262.5,115,1,50,participantright,29
262.5,114,1,26,participantright,29
263.5,114,1,8,participantright,29
264.5,113,1,50,participantright,29
264.5,112,1,107,participantright,29
264.5,111,1,11,participantright,29
265.5,110,1,15,participantright,29
266.5,108,1,17,participantright,29
267.5,105,1,16,participantright,29
268.5,103,1,17,participantright,29
268.5,102,1,17,participantright,29
269.5,102,1,16,participantright,29
270.5,101,1,17,participantright,29
271.5,100,1,29,participantright,29
272.5,100,1,38,participantright,29
273.5,100,1,16,participantright,29
275.5,99,1,17,participantright,29
276.5,99,1,17,participantright,29
278.5,98,1,16,participantright,29
279.5,98,1,17,participantright,29
280.5,98,1,17,participantright,29
281.5,98,1,16,participantright,29
282.5,98,1,17,participantright,29
282.5,97,1,17,participantright,29
283.5,97,1,16,participantright,29
284.5,97,1,17,participantright,29
285.5,97,1,27,participantright,29
286.5,97,1,16,participantright,29
286.5,96,1,12,participantright,29
287.5,96,1,13,participantright,29
288.5,96,1,19,participantright,29
289.5,96,1,20,participantright,29
290.5,96,1,20,participantright,29
291.5,96,1,16,participantright,29
291.5,95,1,12,participantright,29
292.5,96,1,13,participantright,29
292.5,95,1,15,participantright,29
292.5,95,1,17,participantright,29
293.5,96,1,17,participantright,29
293.5,95,1,17,participantright,29
294.5,95,1,16,participantright,29
295.5,95,1,17,participantright,29
296.5,95,1,50,participantright,29
297.5,95,1,17,participantright,29
298.5,95,1,16,participantright,29
299.5,94,1,17,participantright,29
300.5,94,1,16,participantright,29
301.5,94,1,17,participantright,29
302.5,94,1,17,participantright,29
302.5,93,1,16,participantright,29
303.5,93,1,17,participantright,29
304.5,93,1,21,participantright,29
