x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
107.5,315,5,10,participant2left,30
107.5,316,5,46,participant2left,30
107.5,317,5,16,participant2left,30
106.5,317,5,226,participant2left,30
107.5,317,5,45,participant2left,30
106.5,317,5,19,participant2left,30
106.5,318,5,73,participant2left,30
106.5,319,5,16,participant2left,30
105.5,320,5,11,participant2left,30
105.5,321,5,12,participant2left,30
105.5,322,5,16,participant2left,30
105.5,323,5,17,participant2left,30
104.5,323,5,16,participant2left,30
104.5,324,5,17,participant2left,30
104.5,325,5,16,participant2left,30
104.5,326,5,17,participant2left,30
104.5,327,5,17,participant2left,30
104.5,328,5,16,participant2left,30
104.5,329,5,17,participant2left,30
104.5,330,5,48,participant2left,30
104.5,331,5,35,participant2left,30
104.5,332,5,25,participant2left,30
104.5,333,5,42,participant2left,30
104.5,334,5,22,participant2left,30
104.5,335,5,20,participant2left,30
104.5,336,5,15,participant2left,30
104.5,337,5,12,participant2left,30
104.5,338,5,16,participant2left,30
104.5,339,5,28,participant2left,30
104.5,340,5,36,participant2left,30
104.5,341,5,17,participant2left,30
104.5,342,5,17,participant2left,30
104.5,343,5,18,participant2left,30
104.5,344,5,25,participant2left,30
103.5,345,5,7,participant2left,30
103.5,346,5,17,participant2left,30
103.5,347,5,17,participant2left,30
103.5,349,5,16,participant2left,30
103.5,351,5,17,participant2left,30
104.5,353,5,17,participant2left,30
104.5,354,5,16,participant2left,30
104.5,355,5,17,participant2left,30
104.5,357,5,17,participant2left,30
104.5,358,5,16,participant2left,30
104.5,360,5,17,participant2left,30
105.5,361,5,17,participant2left,30
105.5,362,5,16,participant2left,30
105.5,363,5,17,participant2left,30
105.5,364,5,20,participant2left,30
106.5,364,5,13,participant2left,30
106.5,366,5,17,participant2left,30
107.5,367,5,17,participant2left,30
107.5,368,5,16,participant2left,30
108.5,370,5,17,participant2left,30
108.5,371,5,17,participant2left,30
108.5,372,5,16,participant2left,30
109.5,373,5,17,participant2left,30
109.5,374,5,17,participant2left,30
109.5,375,5,16,participant2left,30
109.5,376,5,28,participant2left,30
108.5,376,5,9,participant2left,30
108.5,377,5,13,participant2left,30
108.5,378,5,18,participant2left,30
108.5,379,5,16,participant2left,30
108.5,380,5,16,participant2left,30
107.5,381,5,17,participant2left,30
107.5,382,5,24,participant2left,30
107.5,383,5,11,participant2left,30
107.5,384,5,16,participant2left,30
106.5,385,5,16,participant2left,30
106.5,386,5,16,participant2left,30
106.5,387,5,17,participant2left,30
105.5,388,5,17,participant2left,30
105.5,389,5,16,participant2left,30
105.5,390,5,17,participant2left,30
105.5,391,5,17,participant2left,30
105.5,392,5,16,participant2left,30
105.5,393,5,17,participant2left,30
105.5,394,5,17,participant2left,30
106.5,395,5,16,participant2left,30
106.5,396,5,17,participant2left,30
106.5,397,5,17,participant2left,30
107.5,398,5,16,participant2left,30
107.5,400,5,17,participant2left,30
108.5,401,5,17,participant2left,30
108.5,403,5,16,participant2left,30
