x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
78.5,313,1,166,participant2right,27
79.5,313,1,60,participant2right,27
80.5,313,1,91,participant2right,27
81.5,313,1,33,participant2right,27
82.5,313,1,34,participant2right,27
83.5,313,1,17,participant2right,27
84.5,313,1,29,participant2right,27
85.5,313,1,20,participant2right,27
86.5,313,1,28,participant2right,27
87.5,313,1,39,participant2right,27
88.5,313,1,18,participant2right,27
89.5,313,1,16,participant2right,27
90.5,313,1,16,participant2right,27
92.5,313,1,17,participant2right,27
93.5,313,1,16,participant2right,27
94.5,314,1,17,participant2right,27
96.5,314,1,17,participant2right,27
97.5,314,1,17,participant2right,27
99.5,314,1,16,participant2right,27
100.5,314,1,17,participant2right,27
101.5,314,1,17,participant2right,27
102.5,314,1,16,participant2right,27
104.5,314,1,17,participant2right,27
105.5,314,1,24,participant2right,27
106.5,314,1,24,participant2right,27
107.5,314,1,17,participant2right,27
107.5,313,1,7,participant2right,27
108.5,313,1,11,participant2right,27
109.5,313,1,17,participant2right,27
110.5,313,1,17,participant2right,27
111.5,313,1,16,participant2right,27
112.5,313,1,23,participant2right,27
113.5,313,1,44,participant2right,27
114.5,313,1,28,participant2right,27
115.5,313,1,16,participant2right,27
116.5,313,1,39,participant2right,27
117.5,313,1,17,participant2right,27
118.5,313,1,17,participant2right,27
119.5,313,1,16,participant2right,27
120.5,313,1,17,participant2right,27
122.5,313,1,17,participant2right,27
123.5,313,1,16,participant2right,27
125.5,313,1,17,participant2right,27
126.5,313,1,17,participant2right,27
127.5,313,1,16,participant2right,27
128.5,313,1,17,participant2right,27
129.5,313,1,17,participant2right,27
132.5,313,1,16,participant2right,27
135.5,313,1,17,participant2right,27
137.5,313,1,17,participant2right,27
138.5,313,1,16,participant2right,27
139.5,313,1,17,participant2right,27
140.5,313,1,17,participant2right,27
141.5,313,1,16,participant2right,27
143.5,313,1,17,participant2right,27
144.5,313,1,20,participant2right,27
145.5,313,1,47,participant2right,27
146.5,313,1,16,participant2right,27
148.5,313,1,17,participant2right,27
150.5,313,1,17,participant2right,27
151.5,313,1,16,participant2right,27
152.5,313,1,17,participant2right,27
154.5,313,1,17,participant2right,27
156.5,312,1,16,participant2right,27
157.5,312,1,17,participant2right,27
159.5,312,1,17,participant2right,27
160.5,312,1,19,participant2right,27
161.5,312,1,16,participant2right,27
162.5,312,1,21,participant2right,27
163.5,312,1,26,participant2right,27
164.5,312,1,18,participant2right,27
166.5,312,1,16,participant2right,27
167.5,312,1,17,participant2right,27
168.5,312,1,17,participant2right,27
168.5,313,1,16,participant2right,27
169.5,312,1,17,participant2right,27
170.5,312,1,17,participant2right,27
171.5,312,1,16,participant2right,27
172.5,313,1,17,participant2right,27
174.5,313,1,17,participant2right,27
176.5,313,1,16,participant2right,27
177.5,313,1,17,participant2right,27
179.5,313,1,17,participant2right,27
180.5,313,1,16,participant2right,27
182.5,313,1,17,participant2right,27
184.5,312,1,17,participant2right,27
186.5,312,1,16,participant2right,27
188.5,312,1,17,participant2right,27
191.5,312,1,17,participant2right,27
192.5,312,1,16,participant2right,27
194.5,312,1,17,participant2right,27
196.5,311,1,17,participant2right,27
198.5,312,1,16,participant2right,27
200.5,311,1,17,participant2right,27
202.5,311,1,17,participant2right,27
203.5,311,1,16,participant2right,27
204.5,311,1,17,participant2right,27
206.5,311,1,17,participant2right,27
207.5,311,1,16,participant2right,27
208.5,312,1,17,participant2right,27
209.5,311,1,17,participant2right,27
210.5,311,1,16,participant2right,27
211.5,311,1,17,participant2right,27
212.5,311,1,17,participant2right,27
213.5,311,1,16,participant2right,27
214.5,311,1,17,participant2right,27
216.5,311,1,17,participant2right,27
217.5,311,1,16,participant2right,27
