x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
349.5,191,1,14,participant2left,10
349.5,192,1,51,participant2left,10
349.5,193,1,17,participant2left,10
349.5,194,1,24,participant2left,10
349.5,195,1,72,participant2left,10
349.5,196,1,45,participant2left,10
348.5,197,1,42,participant2left,10
348.5,198,1,17,participant2left,10
348.5,199,1,24,participant2left,10
348.5,200,1,43,participant2left,10
348.5,201,1,25,participant2left,10
348.5,202,1,20,participant2left,10
348.5,203,1,38,participant2left,10
348.5,204,1,17,participant2left,10
348.5,205,1,21,participant2left,10
348.5,206,1,16,participant2left,10
348.5,207,1,30,participant2left,10
348.5,208,1,16,participant2left,10
348.5,209,1,17,participant2left,10
348.5,210,1,16,participant2left,10
348.5,211,1,17,participant2left,10
348.5,212,1,17,participant2left,10
348.5,214,1,16,participant2left,10
348.5,215,1,17,participant2left,10
347.5,216,1,17,participant2left,10
347.5,217,1,16,participant2left,10
347.5,218,1,17,participant2left,10
347.5,219,1,17,participant2left,10
347.5,220,1,16,participant2left,10
346.5,221,1,17,participant2left,10
346.5,222,1,17,participant2left,10
346.5,223,1,16,participant2left,10
346.5,225,1,17,participant2left,10
345.5,226,1,17,participant2left,10
345.5,227,1,16,participant2left,10
344.5,228,1,17,participant2left,10
344.5,229,1,17,participant2left,10
344.5,230,1,18,participant2left,10
344.5,231,1,19,participant2left,10
344.5,232,1,20,participant2left,10
343.5,232,1,12,participant2left,10
343.5,233,1,14,participant2left,10
343.5,234,1,17,participant2left,10
343.5,235,1,16,participant2left,10
343.5,236,1,17,participant2left,10
342.5,238,1,17,participant2left,10
342.5,240,1,16,participant2left,10
342.5,241,1,17,participant2left,10
342.5,243,1,17,participant2left,10
342.5,244,1,16,participant2left,10
342.5,246,1,17,participant2left,10
342.5,249,1,17,participant2left,10
342.5,250,1,16,participant2left,10
342.5,251,1,17,participant2left,10
342.5,253,1,17,participant2left,10
343.5,253,1,16,participant2left,10
343.5,254,1,17,participant2left,10
343.5,256,1,17,participant2left,10
343.5,257,1,19,participant2left,10
343.5,258,1,20,participant2left,10
343.5,259,1,49,participant2left,10
343.5,260,1,23,participant2left,10
343.5,261,1,20,participant2left,10
343.5,262,1,35,participant2left,10
343.5,263,1,17,participant2left,10
343.5,264,1,17,participant2left,10
343.5,265,1,17,participant2left,10
343.5,266,1,16,participant2left,10
343.5,267,1,16,participant2left,10
342.5,267,1,17,participant2left,10
342.5,268,1,17,participant2left,10
342.5,269,1,17,participant2left,10
342.5,270,1,16,participant2left,10
342.5,271,1,19,participant2left,10
342.5,272,1,28,participant2left,10
342.5,274,1,36,participant2left,10
342.5,275,1,17,participant2left,10
342.5,276,1,17,participant2left,10
342.5,277,1,16,participant2left,10
342.5,278,1,17,participant2left,10
342.5,279,1,17,participant2left,10
342.5,280,1,16,participant2left,10
342.5,281,1,50,participant2left,10
342.5,282,1,50,participant2left,10
343.5,283,1,17,participant2left,10
343.5,284,1,19,participant2left,10
343.5,285,1,52,participant2left,10
343.5,286,1,20,participant2left,10
343.5,287,1,20,participant2left,10
344.5,287,1,20,participant2left,10
344.5,288,1,16,participant2left,10
344.5,289,1,53,participant2left,10
344.5,290,1,17,participant2left,10
344.5,291,1,16,participant2left,10
345.5,291,1,17,participant2left,10
345.5,292,1,17,participant2left,10
346.5,293,1,16,participant2left,10
347.5,294,1,17,participant2left,10
347.5,295,1,17,participant2left,10
348.5,295,1,22,participant2left,10
348.5,296,1,11,participant2left,10
349.5,297,1,17,participant2left,10
350.5,299,1,16,participant2left,10
351.5,299,1,17,participant2left,10
351.5,300,1,17,participant2left,10
352.5,300,1,16,participant2left,10
352.5,301,1,22,participant2left,10
353.5,301,1,76,participant2left,10
354.5,301,1,72,participant2left,10
355.5,301,1,25,participant2left,10
355.5,300,1,5,participant2left,10
356.5,300,1,17,participant2left,10
357.5,300,1,17,participant2left,10
358.5,299,1,16,participant2left,10
359.5,298,1,17,participant2left,10
360.5,297,1,19,participant2left,10
360.5,296,1,20,participant2left,10
361.5,295,1,11,participant2left,10
361.5,294,1,17,participant2left,10
349.5,191,1,14,participant2left,10
349.5,192,1,51,participant2left,10
349.5,193,1,17,participant2left,10
349.5,194,1,24,participant2left,10
349.5,195,1,72,participant2left,10
349.5,196,1,45,participant2left,10
348.5,197,1,42,participant2left,10
348.5,198,1,17,participant2left,10
348.5,199,1,24,participant2left,10
348.5,200,1,43,participant2left,10
348.5,201,1,25,participant2left,10
348.5,202,1,20,participant2left,10
348.5,203,1,38,participant2left,10
348.5,204,1,17,participant2left,10
348.5,205,1,21,participant2left,10
348.5,206,1,16,participant2left,10
348.5,207,1,30,participant2left,10
348.5,208,1,16,participant2left,10
348.5,209,1,17,participant2left,10
348.5,210,1,16,participant2left,10
348.5,211,1,17,participant2left,10
348.5,212,1,17,participant2left,10
348.5,214,1,16,participant2left,10
348.5,215,1,17,participant2left,10
347.5,216,1,17,participant2left,10
347.5,217,1,16,participant2left,10
347.5,218,1,17,participant2left,10
347.5,219,1,17,participant2left,10
347.5,220,1,16,participant2left,10
346.5,221,1,17,participant2left,10
346.5,222,1,17,participant2left,10
346.5,223,1,16,participant2left,10
346.5,225,1,17,participant2left,10
345.5,226,1,17,participant2left,10
345.5,227,1,16,participant2left,10
344.5,228,1,17,participant2left,10
344.5,229,1,17,participant2left,10
344.5,230,1,18,participant2left,10
344.5,231,1,19,participant2left,10
344.5,232,1,20,participant2left,10
343.5,232,1,12,participant2left,10
343.5,233,1,14,participant2left,10
343.5,234,1,17,participant2left,10
343.5,235,1,16,participant2left,10
343.5,236,1,17,participant2left,10
342.5,238,1,17,participant2left,10
342.5,240,1,16,participant2left,10
342.5,241,1,17,participant2left,10
342.5,243,1,17,participant2left,10
342.5,244,1,16,participant2left,10
342.5,246,1,17,participant2left,10
342.5,249,1,17,participant2left,10
342.5,250,1,16,participant2left,10
342.5,251,1,17,participant2left,10
342.5,253,1,17,participant2left,10
343.5,253,1,16,participant2left,10
343.5,254,1,17,participant2left,10
343.5,256,1,17,participant2left,10
343.5,257,1,19,participant2left,10
343.5,258,1,20,participant2left,10
343.5,259,1,49,participant2left,10
343.5,260,1,23,participant2left,10
343.5,261,1,20,participant2left,10
343.5,262,1,35,participant2left,10
343.5,263,1,17,participant2left,10
343.5,264,1,17,participant2left,10
343.5,265,1,17,participant2left,10
343.5,266,1,16,participant2left,10
343.5,267,1,16,participant2left,10
342.5,267,1,17,participant2left,10
342.5,268,1,17,participant2left,10
342.5,269,1,17,participant2left,10
342.5,270,1,16,participant2left,10
342.5,271,1,19,participant2left,10
342.5,272,1,28,participant2left,10
342.5,274,1,36,participant2left,10
342.5,275,1,17,participant2left,10
342.5,276,1,17,participant2left,10
342.5,277,1,16,participant2left,10
342.5,278,1,17,participant2left,10
342.5,279,1,17,participant2left,10
342.5,280,1,16,participant2left,10
342.5,281,1,50,participant2left,10
342.5,282,1,50,participant2left,10
343.5,283,1,17,participant2left,10
343.5,284,1,19,participant2left,10
343.5,285,1,52,participant2left,10
343.5,286,1,20,participant2left,10
343.5,287,1,20,participant2left,10
344.5,287,1,20,participant2left,10
344.5,288,1,16,participant2left,10
344.5,289,1,53,participant2left,10
344.5,290,1,17,participant2left,10
344.5,291,1,16,participant2left,10
345.5,291,1,17,participant2left,10
345.5,292,1,17,participant2left,10
346.5,293,1,16,participant2left,10
