x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
424.5,224,2,94,participant2right,10
424.5,225,2,16,participant2right,10
424.5,226,2,16,participant2right,10
424.5,227,2,8,participant2right,10
425.5,228,2,12,participant2right,10
425.5,230,2,17,participant2right,10
425.5,231,2,17,participant2right,10
426.5,232,2,16,participant2right,10
426.5,233,2,17,participant2right,10
426.5,235,2,17,participant2right,10
427.5,237,2,16,participant2right,10
427.5,239,2,17,participant2right,10
427.5,240,2,17,participant2right,10
427.5,242,2,16,participant2right,10
427.5,243,2,17,participant2right,10
427.5,244,2,17,participant2right,10
427.5,246,2,16,participant2right,10
427.5,248,2,17,participant2right,10
427.5,249,2,17,participant2right,10
427.5,251,2,16,participant2right,10
427.5,252,2,17,participant2right,10
427.5,254,2,17,participant2right,10
427.5,256,2,16,participant2right,10
427.5,257,2,17,participant2right,10
427.5,258,2,19,participant2right,10
427.5,259,2,16,participant2right,10
427.5,260,2,15,participant2right,10
427.5,261,2,17,participant2right,10
427.5,263,2,16,participant2right,10
426.5,264,2,17,participant2right,10
426.5,265,2,17,participant2right,10
426.5,266,2,16,participant2right,10
426.5,267,2,16,participant2right,10
426.5,269,2,17,participant2right,10
426.5,271,2,17,participant2right,10
426.5,273,2,17,participant2right,10
425.5,274,2,16,participant2right,10
425.5,275,2,19,participant2right,10
425.5,276,2,20,participant2right,10
425.5,277,2,16,participant2right,10
425.5,278,2,28,participant2right,10
425.5,279,2,17,participant2right,10
424.5,281,2,17,participant2right,10
424.5,282,2,17,participant2right,10
424.5,283,2,16,participant2right,10
424.5,284,2,17,participant2right,10
423.5,285,2,20,participant2right,10
423.5,286,2,16,participant2right,10
423.5,287,2,15,participant2right,10
423.5,288,2,16,participant2right,10
423.5,289,2,16,participant2right,10
422.5,290,2,17,participant2right,10
422.5,291,2,20,participant2right,10
421.5,292,2,47,participant2right,10
421.5,293,2,25,participant2right,10
420.5,293,2,8,participant2right,10
420.5,294,2,17,participant2right,10
419.5,294,2,16,participant2right,10
419.5,295,2,17,participant2right,10
418.5,296,2,17,participant2right,10
418.5,297,2,21,participant2right,10
417.5,297,2,16,participant2right,10
416.5,298,2,16,participant2right,10
415.5,299,2,20,participant2right,10
414.5,299,2,43,participant2right,10
414.5,300,2,17,participant2right,10
413.5,300,2,17,participant2right,10
412.5,301,2,16,participant2right,10
411.5,301,2,19,participant2right,10
410.5,301,2,24,participant2right,10
410.5,302,2,8,participant2right,10
408.5,302,2,16,participant2right,10
407.5,302,2,20,participant2right,10
407.5,303,2,15,participant2right,10
406.5,303,2,15,participant2right,10
405.5,303,2,17,participant2right,10
404.5,303,2,16,participant2right,10
403.5,303,2,17,participant2right,10
402.5,303,2,17,participant2right,10
401.5,303,2,16,participant2right,10
400.5,304,2,17,participant2right,10
399.5,304,2,17,participant2right,10
398.5,304,2,16,participant2right,10
397.5,304,2,21,participant2right,10
396.5,304,2,16,participant2right,10
395.5,304,2,16,participant2right,10
394.5,304,2,14,participant2right,10
393.5,303,2,17,participant2right,10
392.5,303,2,16,participant2right,10
391.5,303,2,17,participant2right,10
390.5,303,2,16,participant2right,10
389.5,303,2,17,participant2right,10
388.5,302,2,17,participant2right,10
387.5,302,2,17,participant2right,10
386.5,301,2,16,participant2right,10
385.5,300,2,17,participant2right,10
384.5,300,2,17,participant2right,10
384.5,299,2,16,participant2right,10
383.5,298,2,17,participant2right,10
382.5,297,2,26,participant2right,10
382.5,296,2,16,participant2right,10
381.5,295,2,16,participant2right,10
381.5,294,2,12,participant2right,10
381.5,293,2,16,participant2right,10
382.5,293,2,104,participant2right,10
382.5,292,2,10,participant2right,10
384.5,291,2,14,participant2right,10
426.5,194,2,6,participant2right,10
426.5,193,2,19,participant2right,10
427.5,192,2,16,participant2right,10
426.5,192,2,48,participant2right,10
425.5,192,2,17,participant2right,10
424.5,193,2,17,participant2right,10
423.5,194,2,16,participant2right,10
422.5,195,2,17,participant2right,10
422.5,194,2,17,participant2right,10
423.5,194,2,16,participant2right,10
424.5,194,2,17,participant2right,10
425.5,194,2,17,participant2right,10
426.5,193,2,16,participant2right,10
426.5,192,2,17,participant2right,10
426.5,193,2,50,participant2right,10
424.5,224,2,94,participant2right,10
424.5,225,2,16,participant2right,10
424.5,226,2,16,participant2right,10
424.5,227,2,8,participant2right,10
425.5,228,2,12,participant2right,10
425.5,230,2,17,participant2right,10
425.5,231,2,17,participant2right,10
426.5,232,2,16,participant2right,10
426.5,233,2,17,participant2right,10
426.5,235,2,17,participant2right,10
427.5,237,2,16,participant2right,10
427.5,239,2,17,participant2right,10
427.5,240,2,17,participant2right,10
427.5,242,2,16,participant2right,10
427.5,243,2,17,participant2right,10
427.5,244,2,17,participant2right,10
427.5,246,2,16,participant2right,10
427.5,248,2,17,participant2right,10
427.5,249,2,17,participant2right,10
427.5,251,2,16,participant2right,10
427.5,252,2,17,participant2right,10
427.5,254,2,17,participant2right,10
427.5,256,2,16,participant2right,10
427.5,257,2,17,participant2right,10
427.5,258,2,19,participant2right,10
427.5,259,2,16,participant2right,10
427.5,260,2,15,participant2right,10
427.5,261,2,17,participant2right,10
427.5,263,2,16,participant2right,10
426.5,264,2,17,participant2right,10
426.5,265,2,17,participant2right,10
426.5,266,2,16,participant2right,10
426.5,267,2,16,participant2right,10
426.5,269,2,17,participant2right,10
426.5,271,2,17,participant2right,10
426.5,273,2,17,participant2right,10
425.5,274,2,16,participant2right,10
425.5,275,2,19,participant2right,10
425.5,276,2,20,participant2right,10
425.5,277,2,16,participant2right,10
425.5,278,2,28,participant2right,10
425.5,279,2,17,participant2right,10
424.5,281,2,17,participant2right,10
424.5,282,2,17,participant2right,10
