x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
437.5,236,3,47,participant2leftuppercase,9
436.5,236,3,16,participant2leftuppercase,9
435.5,237,3,10,participant2leftuppercase,9
433.5,237,3,17,participant2leftuppercase,9
429.5,237,3,16,participant2leftuppercase,9
425.5,238,3,17,participant2leftuppercase,9
421.5,238,3,17,participant2leftuppercase,9
418.5,239,3,16,participant2leftuppercase,9
415.5,239,3,17,participant2leftuppercase,9
413.5,239,3,17,participant2leftuppercase,9
411.5,239,3,16,participant2leftuppercase,9
408.5,239,3,17,participant2leftuppercase,9
406.5,239,3,17,participant2leftuppercase,9
404.5,239,3,16,participant2leftuppercase,9
402.5,239,3,17,participant2leftuppercase,9
400.5,239,3,17,participant2leftuppercase,9
399.5,239,3,16,participant2leftuppercase,9
397.5,239,3,17,participant2leftuppercase,9
395.5,239,3,16,participant2leftuppercase,9
393.5,239,3,17,participant2leftuppercase,9
392.5,239,3,17,participant2leftuppercase,9
391.5,239,3,17,participant2leftuppercase,9
389.5,239,3,16,participant2leftuppercase,9
386.5,239,3,17,participant2leftuppercase,9
385.5,239,3,17,participant2leftuppercase,9
383.5,240,3,16,participant2leftuppercase,9
381.5,240,3,17,participant2leftuppercase,9
379.5,240,3,17,participant2leftuppercase,9
377.5,240,3,16,participant2leftuppercase,9
375.5,240,3,17,participant2leftuppercase,9
374.5,240,3,16,participant2leftuppercase,9
372.5,240,3,17,participant2leftuppercase,9
369.5,240,3,17,participant2leftuppercase,9
367.5,240,3,17,participant2leftuppercase,9
366.5,240,3,16,participant2leftuppercase,9
365.5,240,3,17,participant2leftuppercase,9
364.5,240,3,17,participant2leftuppercase,9
362.5,240,3,16,participant2leftuppercase,9
360.5,240,3,17,participant2leftuppercase,9
359.5,240,3,16,participant2leftuppercase,9
357.5,240,3,17,participant2leftuppercase,9
356.5,240,3,17,participant2leftuppercase,9
354.5,240,3,17,participant2leftuppercase,9
353.5,240,3,16,participant2leftuppercase,9
352.5,240,3,17,participant2leftuppercase,9
396.5,242,3,38,participant2leftuppercase,9
396.5,243,3,49,participant2leftuppercase,9
396.5,244,3,17,participant2leftuppercase,9
395.5,245,3,17,participant2leftuppercase,9
395.5,247,3,16,participant2leftuppercase,9
395.5,248,3,17,participant2leftuppercase,9
395.5,250,3,17,participant2leftuppercase,9
