x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
458.5,199,2,22,participant2rightuppercase,10
458.5,200,2,101,participant2rightuppercase,10
459.5,201,2,16,participant2rightuppercase,10
460.5,202,2,17,participant2rightuppercase,10
460.5,203,2,16,participant2rightuppercase,10
461.5,204,2,17,participant2rightuppercase,10
461.5,205,2,17,participant2rightuppercase,10
461.5,206,2,16,participant2rightuppercase,10
462.5,207,2,21,participant2rightuppercase,10
462.5,208,2,16,participant2rightuppercase,10
462.5,209,2,13,participant2rightuppercase,10
462.5,210,2,17,participant2rightuppercase,10
462.5,211,2,17,participant2rightuppercase,10
463.5,212,2,16,participant2rightuppercase,10
463.5,213,2,17,participant2rightuppercase,10
463.5,214,2,33,participant2rightuppercase,10
463.5,215,2,17,participant2rightuppercase,10
463.5,217,2,17,participant2rightuppercase,10
463.5,219,2,16,participant2rightuppercase,10
463.5,222,2,17,participant2rightuppercase,10
463.5,225,2,16,participant2rightuppercase,10
463.5,228,2,17,participant2rightuppercase,10
462.5,231,2,17,participant2rightuppercase,10
462.5,233,2,17,participant2rightuppercase,10
462.5,234,2,16,participant2rightuppercase,10
462.5,235,2,17,participant2rightuppercase,10
463.5,236,2,17,participant2rightuppercase,10
463.5,237,2,16,participant2rightuppercase,10
463.5,238,2,17,participant2rightuppercase,10
463.5,240,2,17,participant2rightuppercase,10
463.5,242,2,16,participant2rightuppercase,10
463.5,243,2,17,participant2rightuppercase,10
463.5,245,2,17,participant2rightuppercase,10
464.5,247,2,16,participant2rightuppercase,10
464.5,248,2,17,participant2rightuppercase,10
464.5,250,2,17,participant2rightuppercase,10
464.5,253,2,16,participant2rightuppercase,10
464.5,255,2,17,participant2rightuppercase,10
463.5,258,2,17,participant2rightuppercase,10
463.5,260,2,16,participant2rightuppercase,10
463.5,262,2,17,participant2rightuppercase,10
463.5,264,2,17,participant2rightuppercase,10
463.5,266,2,16,participant2rightuppercase,10
463.5,267,2,17,participant2rightuppercase,10
463.5,268,2,17,participant2rightuppercase,10
463.5,269,2,16,participant2rightuppercase,10
463.5,271,2,17,participant2rightuppercase,10
463.5,272,2,17,participant2rightuppercase,10
463.5,274,2,16,participant2rightuppercase,10
463.5,276,2,17,participant2rightuppercase,10
462.5,278,2,16,participant2rightuppercase,10
462.5,281,2,17,participant2rightuppercase,10
462.5,283,2,17,participant2rightuppercase,10
462.5,284,2,17,participant2rightuppercase,10
462.5,286,2,16,participant2rightuppercase,10
462.5,288,2,17,participant2rightuppercase,10
462.5,290,2,17,participant2rightuppercase,10
462.5,291,2,16,participant2rightuppercase,10
462.5,293,2,17,participant2rightuppercase,10
462.5,294,2,16,participant2rightuppercase,10
463.5,296,2,17,participant2rightuppercase,10
463.5,298,2,17,participant2rightuppercase,10
464.5,300,2,17,participant2rightuppercase,10
464.5,302,2,16,participant2rightuppercase,10
465.5,304,2,17,participant2rightuppercase,10
465.5,306,2,17,participant2rightuppercase,10
466.5,308,2,16,participant2rightuppercase,10
466.5,312,2,17,participant2rightuppercase,10
466.5,315,2,17,participant2rightuppercase,10
466.5,317,2,16,participant2rightuppercase,10
466.5,319,2,17,participant2rightuppercase,10
466.5,320,2,17,participant2rightuppercase,10
466.5,323,2,16,participant2rightuppercase,10
466.5,325,2,17,participant2rightuppercase,10
465.5,326,2,17,participant2rightuppercase,10
465.5,328,2,16,participant2rightuppercase,10
464.5,331,2,17,participant2rightuppercase,10
