x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
268.5,318,3,54,participant3leftlowercase,30
267.5,318,3,36,participant3leftlowercase,30
266.5,318,3,49,participant3leftlowercase,30
265.5,318,3,27,participant3leftlowercase,30
264.5,318,3,16,participant3leftlowercase,30
263.5,318,3,16,participant3leftlowercase,30
263.5,317,3,12,participant3leftlowercase,30
262.5,317,3,12,participant3leftlowercase,30
261.5,317,3,17,participant3leftlowercase,30
260.5,317,3,17,participant3leftlowercase,30
258.5,317,3,16,participant3leftlowercase,30
257.5,317,3,17,participant3leftlowercase,30
256.5,317,3,25,participant3leftlowercase,30
254.5,317,3,41,participant3leftlowercase,30
253.5,317,3,17,participant3leftlowercase,30
251.5,317,3,17,participant3leftlowercase,30
250.5,318,3,16,participant3leftlowercase,30
247.5,318,3,17,participant3leftlowercase,30
246.5,318,3,17,participant3leftlowercase,30
245.5,318,3,16,participant3leftlowercase,30
243.5,318,3,17,participant3leftlowercase,30
242.5,318,3,17,participant3leftlowercase,30
240.5,318,3,16,participant3leftlowercase,30
238.5,318,3,17,participant3leftlowercase,30
237.5,318,3,17,participant3leftlowercase,30
236.5,318,3,16,participant3leftlowercase,30
235.5,318,3,19,participant3leftlowercase,30
234.5,318,3,15,participant3leftlowercase,30
233.5,318,3,16,participant3leftlowercase,30
231.5,318,3,17,participant3leftlowercase,30
229.5,318,3,17,participant3leftlowercase,30
228.5,318,3,16,participant3leftlowercase,30
227.5,318,3,17,participant3leftlowercase,30
225.5,319,3,17,participant3leftlowercase,30
224.5,318,3,16,participant3leftlowercase,30
222.5,319,3,17,participant3leftlowercase,30
220.5,319,3,17,participant3leftlowercase,30
219.5,319,3,16,participant3leftlowercase,30
218.5,319,3,17,participant3leftlowercase,30
216.5,319,3,17,participant3leftlowercase,30
215.5,319,3,16,participant3leftlowercase,30
213.5,319,3,17,participant3leftlowercase,30
212.5,319,3,17,participant3leftlowercase,30
211.5,319,3,16,participant3leftlowercase,30
209.5,319,3,17,participant3leftlowercase,30
207.5,319,3,17,participant3leftlowercase,30
206.5,319,3,16,participant3leftlowercase,30
204.5,319,3,17,participant3leftlowercase,30
203.5,319,3,20,participant3leftlowercase,30
202.5,319,3,14,participant3leftlowercase,30
200.5,319,3,16,participant3leftlowercase,30
198.5,319,3,17,participant3leftlowercase,30
196.5,319,3,16,participant3leftlowercase,30
195.5,319,3,17,participant3leftlowercase,30
194.5,319,3,17,participant3leftlowercase,30
193.5,319,3,16,participant3leftlowercase,30
192.5,319,3,17,participant3leftlowercase,30
191.5,319,3,17,participant3leftlowercase,30
189.5,319,3,16,participant3leftlowercase,30
187.5,319,3,17,participant3leftlowercase,30
186.5,319,3,17,participant3leftlowercase,30
184.5,319,3,16,participant3leftlowercase,30
183.5,319,3,17,participant3leftlowercase,30
182.5,319,3,17,participant3leftlowercase,30
181.5,319,3,17,participant3leftlowercase,30
180.5,319,3,16,participant3leftlowercase,30
179.5,319,3,17,participant3leftlowercase,30
177.5,319,3,16,participant3leftlowercase,30
176.5,319,3,17,participant3leftlowercase,30
175.5,319,3,17,participant3leftlowercase,30
174.5,319,3,17,participant3leftlowercase,30
173.5,319,3,16,participant3leftlowercase,30
170.5,319,3,17,participant3leftlowercase,30
169.5,319,3,17,participant3leftlowercase,30
167.5,319,3,16,participant3leftlowercase,30
166.5,319,3,17,participant3leftlowercase,30
165.5,319,3,16,participant3leftlowercase,30
163.5,319,3,17,participant3leftlowercase,30
161.5,319,3,17,participant3leftlowercase,30
160.5,319,3,16,participant3leftlowercase,30
159.5,318,3,17,participant3leftlowercase,30
158.5,318,3,17,participant3leftlowercase,30
157.5,318,3,16,participant3leftlowercase,30
156.5,319,3,17,participant3leftlowercase,30
155.5,319,3,17,participant3leftlowercase,30
153.5,319,3,16,participant3leftlowercase,30
152.5,319,3,17,participant3leftlowercase,30
151.5,319,3,17,participant3leftlowercase,30
150.5,319,3,16,participant3leftlowercase,30
149.5,318,3,17,participant3leftlowercase,30
148.5,318,3,17,participant3leftlowercase,30
147.5,319,3,17,participant3leftlowercase,30
146.5,319,3,16,participant3leftlowercase,30
144.5,319,3,17,participant3leftlowercase,30
143.5,319,3,17,participant3leftlowercase,30
141.5,319,3,16,participant3leftlowercase,30
140.5,319,3,17,participant3leftlowercase,30
139.5,318,3,16,participant3leftlowercase,30
138.5,318,3,18,participant3leftlowercase,30
137.5,318,3,16,participant3leftlowercase,30
136.5,318,3,16,participant3leftlowercase,30
134.5,318,3,17,participant3leftlowercase,30
133.5,318,3,17,participant3leftlowercase,30
132.5,318,3,16,participant3leftlowercase,30
131.5,318,3,17,participant3leftlowercase,30
129.5,318,3,17,participant3leftlowercase,30
128.5,318,3,17,participant3leftlowercase,30
126.5,318,3,16,participant3leftlowercase,30
125.5,318,3,17,participant3leftlowercase,30
124.5,318,3,27,participant3leftlowercase,30
123.5,318,3,16,participant3leftlowercase,30
122.5,318,3,12,participant3leftlowercase,30
121.5,318,3,12,participant3leftlowercase,30
120.5,318,3,16,participant3leftlowercase,30
119.5,318,3,24,participant3leftlowercase,30
118.5,318,3,20,participant3leftlowercase,30
117.5,318,3,12,participant3leftlowercase,30
116.5,318,3,12,participant3leftlowercase,30
115.5,318,3,16,participant3leftlowercase,30
114.5,318,3,56,participant3leftlowercase,30
113.5,318,3,12,participant3leftlowercase,30
112.5,318,3,15,participant3leftlowercase,30
111.5,318,3,16,participant3leftlowercase,30
110.5,318,3,145,participant3leftlowercase,30
109.5,318,3,40,participant3leftlowercase,30
108.5,318,3,24,participant3leftlowercase,30
107.5,318,3,12,participant3leftlowercase,30
106.5,318,3,20,participant3leftlowercase,30
106.5,319,3,232,participant3leftlowercase,30
106.5,320,3,16,participant3leftlowercase,30
106.5,321,3,16,participant3leftlowercase,30
105.5,322,3,12,participant3leftlowercase,30
105.5,323,3,17,participant3leftlowercase,30
105.5,325,3,16,participant3leftlowercase,30
105.5,326,3,17,participant3leftlowercase,30
105.5,327,3,17,participant3leftlowercase,30
105.5,329,3,16,participant3leftlowercase,30
105.5,330,3,17,participant3leftlowercase,30
105.5,331,3,17,participant3leftlowercase,30
105.5,333,3,16,participant3leftlowercase,30
105.5,334,3,17,participant3leftlowercase,30
105.5,335,3,18,participant3leftlowercase,30
105.5,336,3,16,participant3leftlowercase,30
105.5,337,3,16,participant3leftlowercase,30
105.5,338,3,17,participant3leftlowercase,30
105.5,339,3,16,participant3leftlowercase,30
105.5,340,3,17,participant3leftlowercase,30
105.5,341,3,17,participant3leftlowercase,30
105.5,342,3,16,participant3leftlowercase,30
105.5,343,3,17,participant3leftlowercase,30
105.5,344,3,17,participant3leftlowercase,30
105.5,345,3,16,participant3leftlowercase,30
105.5,346,3,17,participant3leftlowercase,30
106.5,347,3,17,participant3leftlowercase,30
106.5,348,3,16,participant3leftlowercase,30
106.5,349,3,17,participant3leftlowercase,30
106.5,350,3,17,participant3leftlowercase,30
106.5,351,3,16,participant3leftlowercase,30
106.5,352,3,17,participant3leftlowercase,30
106.5,353,3,17,participant3leftlowercase,30
106.5,354,3,16,participant3leftlowercase,30
106.5,355,3,17,participant3leftlowercase,30
106.5,356,3,17,participant3leftlowercase,30
106.5,357,3,17,participant3leftlowercase,30
106.5,358,3,18,participant3leftlowercase,30
106.5,359,3,16,participant3leftlowercase,30
106.5,360,3,16,participant3leftlowercase,30
106.5,361,3,20,participant3leftlowercase,30
106.5,362,3,16,participant3leftlowercase,30
106.5,363,3,16,participant3leftlowercase,30
106.5,364,3,14,participant3leftlowercase,30
106.5,365,3,18,participant3leftlowercase,30
106.5,366,3,16,participant3leftlowercase,30
106.5,367,3,16,participant3leftlowercase,30
106.5,368,3,17,participant3leftlowercase,30
106.5,369,3,16,participant3leftlowercase,30
106.5,370,3,17,participant3leftlowercase,30
106.5,371,3,17,participant3leftlowercase,30
106.5,372,3,17,participant3leftlowercase,30
106.5,374,3,16,participant3leftlowercase,30
106.5,375,3,17,participant3leftlowercase,30
106.5,376,3,17,participant3leftlowercase,30
106.5,377,3,16,participant3leftlowercase,30
105.5,378,3,17,participant3leftlowercase,30
105.5,379,3,17,participant3leftlowercase,30
106.5,380,3,16,participant3leftlowercase,30
106.5,381,3,17,participant3leftlowercase,30
106.5,382,3,17,participant3leftlowercase,30
106.5,383,3,17,participant3leftlowercase,30
106.5,384,3,16,participant3leftlowercase,30
106.5,385,3,17,participant3leftlowercase,30
106.5,387,3,16,participant3leftlowercase,30
105.5,388,3,17,participant3leftlowercase,30
105.5,389,3,16,participant3leftlowercase,30
105.5,390,3,17,participant3leftlowercase,30
105.5,391,3,18,participant3leftlowercase,30
105.5,392,3,16,participant3leftlowercase,30
105.5,393,3,20,participant3leftlowercase,30
105.5,394,3,16,participant3leftlowercase,30
105.5,395,3,20,participant3leftlowercase,30
105.5,396,3,16,participant3leftlowercase,30
104.5,396,3,11,participant3leftlowercase,30
104.5,397,3,16,participant3leftlowercase,30
104.5,398,3,17,participant3leftlowercase,30
104.5,399,3,17,participant3leftlowercase,30
104.5,400,3,17,participant3leftlowercase,30
104.5,401,3,16,participant3leftlowercase,30
103.5,401,3,17,participant3leftlowercase,30
103.5,402,3,16,participant3leftlowercase,30
103.5,403,3,17,participant3leftlowercase,30
103.5,405,3,17,participant3leftlowercase,30
103.5,406,3,16,participant3leftlowercase,30
103.5,407,3,17,participant3leftlowercase,30
103.5,408,3,17,participant3leftlowercase,30
103.5,409,3,16,participant3leftlowercase,30
103.5,411,3,17,participant3leftlowercase,30
103.5,412,3,17,participant3leftlowercase,30
103.5,413,3,16,participant3leftlowercase,30
103.5,415,3,17,participant3leftlowercase,30
103.5,416,3,17,participant3leftlowercase,30
103.5,417,3,16,participant3leftlowercase,30
103.5,418,3,17,participant3leftlowercase,30
103.5,419,3,17,participant3leftlowercase,30
103.5,420,3,17,participant3leftlowercase,30
103.5,421,3,16,participant3leftlowercase,30
103.5,422,3,17,participant3leftlowercase,30
103.5,423,3,16,participant3leftlowercase,30
103.5,424,3,17,participant3leftlowercase,30
103.5,425,3,17,participant3leftlowercase,30
103.5,426,3,16,participant3leftlowercase,30
103.5,428,3,17,participant3leftlowercase,30
103.5,429,3,17,participant3leftlowercase,30
103.5,430,3,16,participant3leftlowercase,30
103.5,431,3,17,participant3leftlowercase,30
103.5,432,3,17,participant3leftlowercase,30
104.5,432,3,17,participant3leftlowercase,30
104.5,433,3,16,participant3leftlowercase,30
104.5,434,3,17,participant3leftlowercase,30
104.5,435,3,17,participant3leftlowercase,30
104.5,436,3,16,participant3leftlowercase,30
104.5,437,3,17,participant3leftlowercase,30
104.5,438,3,16,participant3leftlowercase,30
104.5,439,3,17,participant3leftlowercase,30
104.5,440,3,17,participant3leftlowercase,30
104.5,441,3,17,participant3leftlowercase,30
104.5,442,3,24,participant3leftlowercase,30
104.5,443,3,16,participant3leftlowercase,30
104.5,444,3,20,participant3leftlowercase,30
104.5,445,3,12,participant3leftlowercase,30
104.5,446,3,24,participant3leftlowercase,30
