x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
45.5,308,1,100,participant3rightlowercase,27
46.5,308,1,15,participant3rightlowercase,27
46.5,309,1,41,participant3rightlowercase,27
47.5,309,1,17,participant3rightlowercase,27
48.5,309,1,16,participant3rightlowercase,27
49.5,309,1,17,participant3rightlowercase,27
50.5,309,1,16,participant3rightlowercase,27
52.5,310,1,17,participant3rightlowercase,27
53.5,310,1,17,participant3rightlowercase,27
55.5,310,1,16,participant3rightlowercase,27
55.5,311,1,17,participant3rightlowercase,27
56.5,311,1,17,participant3rightlowercase,27
57.5,311,1,54,participant3rightlowercase,27
58.5,311,1,20,participant3rightlowercase,27
59.5,311,1,16,participant3rightlowercase,27
60.5,312,1,11,participant3rightlowercase,27
62.5,313,1,32,participant3rightlowercase,27
64.5,313,1,17,participant3rightlowercase,27
66.5,313,1,16,participant3rightlowercase,27
67.5,314,1,17,participant3rightlowercase,27
68.5,314,1,17,participant3rightlowercase,27
69.5,314,1,16,participant3rightlowercase,27
70.5,315,1,17,participant3rightlowercase,27
71.5,315,1,17,participant3rightlowercase,27
72.5,315,1,16,participant3rightlowercase,27
73.5,315,1,17,participant3rightlowercase,27
74.5,315,1,19,participant3rightlowercase,27
74.5,316,1,15,participant3rightlowercase,27
75.5,316,1,16,participant3rightlowercase,27
76.5,316,1,17,participant3rightlowercase,27
77.5,315,1,16,participant3rightlowercase,27
78.5,315,1,17,participant3rightlowercase,27
79.5,315,1,17,participant3rightlowercase,27
80.5,316,1,16,participant3rightlowercase,27
81.5,316,1,17,participant3rightlowercase,27
82.5,316,1,17,participant3rightlowercase,27
83.5,316,1,16,participant3rightlowercase,27
84.5,316,1,17,participant3rightlowercase,27
86.5,316,1,16,participant3rightlowercase,27
87.5,316,1,17,participant3rightlowercase,27
89.5,316,1,17,participant3rightlowercase,27
90.5,316,1,17,participant3rightlowercase,27
91.5,316,1,16,participant3rightlowercase,27
93.5,316,1,17,participant3rightlowercase,27
94.5,316,1,17,participant3rightlowercase,27
95.5,316,1,16,participant3rightlowercase,27
96.5,316,1,17,participant3rightlowercase,27
97.5,316,1,17,participant3rightlowercase,27
98.5,316,1,16,participant3rightlowercase,27
99.5,316,1,17,participant3rightlowercase,27
101.5,316,1,17,participant3rightlowercase,27
102.5,317,1,16,participant3rightlowercase,27
104.5,317,1,17,participant3rightlowercase,27
106.5,316,1,17,participant3rightlowercase,27
107.5,316,1,16,participant3rightlowercase,27
109.5,316,1,17,participant3rightlowercase,27
111.5,316,1,17,participant3rightlowercase,27
112.5,316,1,16,participant3rightlowercase,27
113.5,316,1,17,participant3rightlowercase,27
114.5,316,1,17,participant3rightlowercase,27
115.5,316,1,17,participant3rightlowercase,27
117.5,316,1,16,participant3rightlowercase,27
118.5,316,1,17,participant3rightlowercase,27
119.5,315,1,17,participant3rightlowercase,27
121.5,316,1,16,participant3rightlowercase,27
123.5,315,1,17,participant3rightlowercase,27
125.5,315,1,17,participant3rightlowercase,27
127.5,315,1,16,participant3rightlowercase,27
128.5,315,1,17,participant3rightlowercase,27
129.5,315,1,17,participant3rightlowercase,27
131.5,315,1,16,participant3rightlowercase,27
132.5,314,1,17,participant3rightlowercase,27
134.5,314,1,17,participant3rightlowercase,27
135.5,314,1,16,participant3rightlowercase,27
136.5,314,1,17,participant3rightlowercase,27
137.5,314,1,16,participant3rightlowercase,27
138.5,314,1,17,participant3rightlowercase,27
139.5,314,1,17,participant3rightlowercase,27
140.5,314,1,20,participant3rightlowercase,27
141.5,314,1,20,participant3rightlowercase,27
142.5,314,1,15,participant3rightlowercase,27
142.5,315,1,11,participant3rightlowercase,27
143.5,315,1,17,participant3rightlowercase,27
145.5,314,1,17,participant3rightlowercase,27
147.5,314,1,16,participant3rightlowercase,27
148.5,314,1,17,participant3rightlowercase,27
150.5,314,1,16,participant3rightlowercase,27
152.5,314,1,17,participant3rightlowercase,27
153.5,314,1,17,participant3rightlowercase,27
156.5,314,1,17,participant3rightlowercase,27
157.5,314,1,17,participant3rightlowercase,27
159.5,314,1,16,participant3rightlowercase,27
160.5,314,1,17,participant3rightlowercase,27
161.5,314,1,17,participant3rightlowercase,27
162.5,314,1,16,participant3rightlowercase,27
164.5,314,1,17,participant3rightlowercase,27
165.5,314,1,17,participant3rightlowercase,27
166.5,314,1,16,participant3rightlowercase,27
167.5,315,1,17,participant3rightlowercase,27
168.5,315,1,16,participant3rightlowercase,27
170.5,315,1,17,participant3rightlowercase,27
171.5,315,1,17,participant3rightlowercase,27
173.5,315,1,17,participant3rightlowercase,27
175.5,315,1,16,participant3rightlowercase,27
176.5,315,1,17,participant3rightlowercase,27
178.5,315,1,17,participant3rightlowercase,27
179.5,315,1,16,participant3rightlowercase,27
