x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
354.5,215,1,59,participant3leftlowercase,25
353.5,215,1,42,participant3leftlowercase,25
353.5,216,1,17,participant3leftlowercase,25
353.5,216,1,16,participant3leftlowercase,25
353.5,217,1,17,participant3leftlowercase,25
353.5,218,1,16,participant3leftlowercase,25
353.5,219,1,17,participant3leftlowercase,25
353.5,220,1,17,participant3leftlowercase,25
353.5,221,1,16,participant3leftlowercase,25
353.5,222,1,26,participant3leftlowercase,25
353.5,223,1,16,participant3leftlowercase,25
353.5,224,1,20,participant3leftlowercase,25
353.5,225,1,16,participant3leftlowercase,25
353.5,226,1,20,participant3leftlowercase,25
353.5,227,1,12,participant3leftlowercase,25
354.5,228,1,16,participant3leftlowercase,25
354.5,229,1,16,participant3leftlowercase,25
354.5,230,1,12,participant3leftlowercase,25
355.5,231,1,30,participant3leftlowercase,25
355.5,233,1,16,participant3leftlowercase,25
355.5,234,1,26,participant3leftlowercase,25
355.5,235,1,20,participant3leftlowercase,25
355.5,236,1,16,participant3leftlowercase,25
355.5,237,1,16,participant3leftlowercase,25
355.5,238,1,20,participant3leftlowercase,25
355.5,239,1,16,participant3leftlowercase,25
355.5,240,1,16,participant3leftlowercase,25
355.5,241,1,37,participant3leftlowercase,25
355.5,242,1,17,participant3leftlowercase,25
355.5,244,1,17,participant3leftlowercase,25
356.5,245,1,17,participant3leftlowercase,25
356.5,246,1,16,participant3leftlowercase,25
356.5,247,1,16,participant3leftlowercase,25
356.5,248,1,20,participant3leftlowercase,25
356.5,249,1,16,participant3leftlowercase,25
357.5,250,1,14,participant3leftlowercase,25
357.5,251,1,17,participant3leftlowercase,25
357.5,252,1,17,participant3leftlowercase,25
358.5,254,1,16,participant3leftlowercase,25
358.5,255,1,17,participant3leftlowercase,25
359.5,256,1,17,participant3leftlowercase,25
359.5,257,1,18,participant3leftlowercase,25
360.5,258,1,15,participant3leftlowercase,25
360.5,259,1,17,participant3leftlowercase,25
361.5,260,1,16,participant3leftlowercase,25
362.5,261,1,17,participant3leftlowercase,25
362.5,262,1,17,participant3leftlowercase,25
362.5,263,1,16,participant3leftlowercase,25
363.5,264,1,17,participant3leftlowercase,25
363.5,265,1,17,participant3leftlowercase,25
364.5,266,1,16,participant3leftlowercase,25
365.5,267,1,28,participant3leftlowercase,25
366.5,268,1,39,participant3leftlowercase,25
366.5,269,1,17,participant3leftlowercase,25
