x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
298.5,173,1,22,participant3leftlowercase,8
297.5,173,1,13,participant3leftlowercase,8
297.5,174,1,99,participant3leftlowercase,8
297.5,174,1,31,participant3leftlowercase,8
297.5,175,1,20,participant3leftlowercase,8
297.5,177,1,17,participant3leftlowercase,8
297.5,178,1,17,participant3leftlowercase,8
297.5,179,1,16,participant3leftlowercase,8
297.5,180,1,17,participant3leftlowercase,8
297.5,181,1,16,participant3leftlowercase,8
297.5,182,1,17,participant3leftlowercase,8
297.5,183,1,17,participant3leftlowercase,8
297.5,184,1,16,participant3leftlowercase,8
297.5,185,1,17,participant3leftlowercase,8
297.5,186,1,19,participant3leftlowercase,8
297.5,187,1,20,participant3leftlowercase,8
297.5,188,1,24,participant3leftlowercase,8
297.5,189,1,16,participant3leftlowercase,8
297.5,190,1,21,participant3leftlowercase,8
297.5,191,1,17,participant3leftlowercase,8
297.5,192,1,16,participant3leftlowercase,8
298.5,193,1,17,participant3leftlowercase,8
298.5,194,1,17,participant3leftlowercase,8
298.5,196,1,17,participant3leftlowercase,8
298.5,197,1,16,participant3leftlowercase,8
298.5,198,1,17,participant3leftlowercase,8
298.5,200,1,17,participant3leftlowercase,8
298.5,201,1,16,participant3leftlowercase,8
298.5,202,1,17,participant3leftlowercase,8
298.5,203,1,17,participant3leftlowercase,8
298.5,204,1,17,participant3leftlowercase,8
298.5,205,1,16,participant3leftlowercase,8
298.5,206,1,17,participant3leftlowercase,8
298.5,207,1,17,participant3leftlowercase,8
298.5,208,1,16,participant3leftlowercase,8
297.5,209,1,17,participant3leftlowercase,8
297.5,210,1,16,participant3leftlowercase,8
297.5,211,1,17,participant3leftlowercase,8
297.5,212,1,17,participant3leftlowercase,8
297.5,213,1,17,participant3leftlowercase,8
297.5,214,1,16,participant3leftlowercase,8
297.5,215,1,17,participant3leftlowercase,8
297.5,216,1,16,participant3leftlowercase,8
297.5,217,1,17,participant3leftlowercase,8
297.5,218,1,17,participant3leftlowercase,8
298.5,219,1,16,participant3leftlowercase,8
298.5,220,1,17,participant3leftlowercase,8
298.5,221,1,17,participant3leftlowercase,8
298.5,222,1,17,participant3leftlowercase,8
298.5,223,1,16,participant3leftlowercase,8
298.5,224,1,17,participant3leftlowercase,8
298.5,225,1,17,participant3leftlowercase,8
298.5,226,1,16,participant3leftlowercase,8
298.5,228,1,17,participant3leftlowercase,8
299.5,229,1,17,participant3leftlowercase,8
299.5,231,1,16,participant3leftlowercase,8
299.5,232,1,17,participant3leftlowercase,8
299.5,233,1,17,participant3leftlowercase,8
299.5,234,1,16,participant3leftlowercase,8
300.5,236,1,17,participant3leftlowercase,8
300.5,237,1,17,participant3leftlowercase,8
300.5,238,1,16,participant3leftlowercase,8
300.5,240,1,17,participant3leftlowercase,8
300.5,241,1,16,participant3leftlowercase,8
300.5,242,1,17,participant3leftlowercase,8
300.5,244,1,17,participant3leftlowercase,8
300.5,245,1,17,participant3leftlowercase,8
300.5,246,1,16,participant3leftlowercase,8
