x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
390.5,187,1,1,participant3rightlowercase,2
390.5,186,1,35,participant3rightlowercase,2
390.5,185,1,16,participant3rightlowercase,2
390.5,184,1,26,participant3rightlowercase,2
390.5,183,1,20,participant3rightlowercase,2
390.5,184,1,117,participant3rightlowercase,2
390.5,185,1,72,participant3rightlowercase,2
391.5,185,1,19,participant3rightlowercase,2
391.5,186,1,13,participant3rightlowercase,2
391.5,187,1,17,participant3rightlowercase,2
391.5,188,1,16,participant3rightlowercase,2
391.5,189,1,17,participant3rightlowercase,2
391.5,190,1,17,participant3rightlowercase,2
391.5,191,1,16,participant3rightlowercase,2
390.5,192,1,20,participant3rightlowercase,2
390.5,193,1,24,participant3rightlowercase,2
390.5,194,1,16,participant3rightlowercase,2
390.5,195,1,12,participant3rightlowercase,2
389.5,196,1,12,participant3rightlowercase,2
389.5,198,1,16,participant3rightlowercase,2
389.5,200,1,17,participant3rightlowercase,2
389.5,201,1,17,participant3rightlowercase,2
389.5,202,1,16,participant3rightlowercase,2
389.5,203,1,30,participant3rightlowercase,2
389.5,204,1,20,participant3rightlowercase,2
390.5,204,1,17,participant3rightlowercase,2
390.5,206,1,17,participant3rightlowercase,2
390.5,207,1,17,participant3rightlowercase,2
391.5,208,1,16,participant3rightlowercase,2
391.5,209,1,17,participant3rightlowercase,2
391.5,210,1,16,participant3rightlowercase,2
391.5,211,1,32,participant3rightlowercase,2
391.5,212,1,35,participant3rightlowercase,2
391.5,213,1,21,participant3rightlowercase,2
392.5,213,1,21,participant3rightlowercase,2
392.5,214,1,8,participant3rightlowercase,2
392.5,215,1,17,participant3rightlowercase,2
392.5,216,1,16,participant3rightlowercase,2
393.5,217,1,17,participant3rightlowercase,2
393.5,218,1,17,participant3rightlowercase,2
393.5,219,1,24,participant3rightlowercase,2
394.5,219,1,12,participant3rightlowercase,2
394.5,220,1,14,participant3rightlowercase,2
394.5,221,1,16,participant3rightlowercase,2
394.5,222,1,17,participant3rightlowercase,2
394.5,223,1,17,participant3rightlowercase,2
394.5,224,1,17,participant3rightlowercase,2
393.5,225,1,16,participant3rightlowercase,2
393.5,226,1,17,participant3rightlowercase,2
393.5,227,1,18,participant3rightlowercase,2
393.5,228,1,48,participant3rightlowercase,2
393.5,229,1,17,participant3rightlowercase,2
393.5,230,1,17,participant3rightlowercase,2
393.5,231,1,16,participant3rightlowercase,2
393.5,233,1,17,participant3rightlowercase,2
393.5,234,1,17,participant3rightlowercase,2
393.5,235,1,16,participant3rightlowercase,2
393.5,236,1,17,participant3rightlowercase,2
393.5,237,1,19,participant3rightlowercase,2
393.5,238,1,24,participant3rightlowercase,2
393.5,239,1,20,participant3rightlowercase,2
393.5,240,1,12,participant3rightlowercase,2
393.5,241,1,12,participant3rightlowercase,2
393.5,242,1,16,participant3rightlowercase,2
392.5,243,1,14,participant3rightlowercase,2
392.5,244,1,17,participant3rightlowercase,2
392.5,245,1,16,participant3rightlowercase,2
392.5,246,1,17,participant3rightlowercase,2
392.5,247,1,16,participant3rightlowercase,2
392.5,248,1,17,participant3rightlowercase,2
392.5,249,1,99,participant3rightlowercase,2
392.5,250,1,24,participant3rightlowercase,2
392.5,251,1,10,participant3rightlowercase,2
391.5,252,1,17,participant3rightlowercase,2
391.5,253,1,17,participant3rightlowercase,2
391.5,254,1,16,participant3rightlowercase,2
391.5,255,1,50,participant3rightlowercase,2
391.5,256,1,17,participant3rightlowercase,2
391.5,257,1,21,participant3rightlowercase,2
391.5,258,1,28,participant3rightlowercase,2
391.5,259,1,18,participant3rightlowercase,2
391.5,260,1,17,participant3rightlowercase,2
391.5,261,1,16,participant3rightlowercase,2
391.5,262,1,17,participant3rightlowercase,2
391.5,264,1,16,participant3rightlowercase,2
391.5,265,1,17,participant3rightlowercase,2
391.5,266,1,17,participant3rightlowercase,2
391.5,267,1,18,participant3rightlowercase,2
391.5,268,1,16,participant3rightlowercase,2
391.5,269,1,20,participant3rightlowercase,2
391.5,270,1,12,participant3rightlowercase,2
391.5,271,1,24,participant3rightlowercase,2
391.5,272,1,20,participant3rightlowercase,2
391.5,273,1,20,participant3rightlowercase,2
391.5,275,1,36,participant3rightlowercase,2
391.5,276,1,17,participant3rightlowercase,2
391.5,277,1,17,participant3rightlowercase,2
391.5,278,1,16,participant3rightlowercase,2
392.5,279,1,17,participant3rightlowercase,2
392.5,280,1,17,participant3rightlowercase,2
392.5,281,1,16,participant3rightlowercase,2
392.5,282,1,17,participant3rightlowercase,2
392.5,284,1,17,participant3rightlowercase,2
392.5,286,1,16,participant3rightlowercase,2
392.5,287,1,17,participant3rightlowercase,2
392.5,288,1,17,participant3rightlowercase,2
392.5,289,1,16,participant3rightlowercase,2
393.5,290,1,17,participant3rightlowercase,2
393.5,291,1,17,participant3rightlowercase,2
393.5,292,1,17,participant3rightlowercase,2
393.5,293,1,16,participant3rightlowercase,2
393.5,294,1,17,participant3rightlowercase,2
393.5,296,1,16,participant3rightlowercase,2
394.5,296,1,17,participant3rightlowercase,2
394.5,297,1,17,participant3rightlowercase,2
394.5,298,1,17,participant3rightlowercase,2
394.5,299,1,16,participant3rightlowercase,2
394.5,300,1,17,participant3rightlowercase,2
394.5,301,1,16,participant3rightlowercase,2
395.5,302,1,17,participant3rightlowercase,2
395.5,303,1,17,participant3rightlowercase,2
