x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
416.5,191,3,62,participant3rightlowercase,20
416.5,191,3,40,participant3rightlowercase,20
417.5,191,3,69,participant3rightlowercase,20
417.5,192,3,15,participant3rightlowercase,20
417.5,193,3,16,participant3rightlowercase,20
416.5,194,3,17,participant3rightlowercase,20
416.5,195,3,17,participant3rightlowercase,20
416.5,197,3,17,participant3rightlowercase,20
416.5,198,3,17,participant3rightlowercase,20
416.5,199,3,24,participant3rightlowercase,20
416.5,200,3,24,participant3rightlowercase,20
415.5,200,3,18,participant3rightlowercase,20
415.5,201,3,17,participant3rightlowercase,20
415.5,202,3,16,participant3rightlowercase,20
415.5,203,3,17,participant3rightlowercase,20
415.5,204,3,16,participant3rightlowercase,20
414.5,205,3,17,participant3rightlowercase,20
414.5,207,3,16,participant3rightlowercase,20
414.5,208,3,17,participant3rightlowercase,20
414.5,209,3,17,participant3rightlowercase,20
414.5,210,3,17,participant3rightlowercase,20
414.5,211,3,16,participant3rightlowercase,20
414.5,213,3,17,participant3rightlowercase,20
414.5,214,3,17,participant3rightlowercase,20
414.5,215,3,17,participant3rightlowercase,20
414.5,216,3,16,participant3rightlowercase,20
414.5,217,3,17,participant3rightlowercase,20
413.5,218,3,17,participant3rightlowercase,20
413.5,220,3,16,participant3rightlowercase,20
413.5,221,3,17,participant3rightlowercase,20
413.5,222,3,17,participant3rightlowercase,20
412.5,223,3,16,participant3rightlowercase,20
412.5,224,3,17,participant3rightlowercase,20
412.5,225,3,16,participant3rightlowercase,20
412.5,226,3,17,participant3rightlowercase,20
412.5,227,3,17,participant3rightlowercase,20
412.5,228,3,16,participant3rightlowercase,20
412.5,229,3,18,participant3rightlowercase,20
411.5,231,3,49,participant3rightlowercase,20
411.5,232,3,17,participant3rightlowercase,20
411.5,233,3,17,participant3rightlowercase,20
411.5,234,3,16,participant3rightlowercase,20
411.5,235,3,17,participant3rightlowercase,20
411.5,236,3,16,participant3rightlowercase,20
411.5,237,3,17,participant3rightlowercase,20
410.5,239,3,17,participant3rightlowercase,20
410.5,240,3,17,participant3rightlowercase,20
410.5,241,3,16,participant3rightlowercase,20
410.5,242,3,17,participant3rightlowercase,20
410.5,244,3,16,participant3rightlowercase,20
410.5,245,3,17,participant3rightlowercase,20
410.5,247,3,17,participant3rightlowercase,20
410.5,248,3,17,participant3rightlowercase,20
410.5,249,3,17,participant3rightlowercase,20
410.5,250,3,16,participant3rightlowercase,20
410.5,251,3,16,participant3rightlowercase,20
410.5,252,3,17,participant3rightlowercase,20
410.5,253,3,17,participant3rightlowercase,20
410.5,255,3,17,participant3rightlowercase,20
410.5,256,3,16,participant3rightlowercase,20
410.5,257,3,17,participant3rightlowercase,20
410.5,259,3,16,participant3rightlowercase,20
409.5,260,3,17,participant3rightlowercase,20
409.5,261,3,17,participant3rightlowercase,20
409.5,262,3,26,participant3rightlowercase,20
409.5,263,3,21,participant3rightlowercase,20
408.5,264,3,15,participant3rightlowercase,20
408.5,265,3,20,participant3rightlowercase,20
408.5,266,3,16,participant3rightlowercase,20
408.5,267,3,16,participant3rightlowercase,20
407.5,268,3,16,participant3rightlowercase,20
407.5,270,3,36,participant3rightlowercase,20
407.5,271,3,20,participant3rightlowercase,20
406.5,272,3,16,participant3rightlowercase,20
406.5,273,3,15,participant3rightlowercase,20
406.5,274,3,16,participant3rightlowercase,20
406.5,275,3,17,participant3rightlowercase,20
406.5,276,3,16,participant3rightlowercase,20
406.5,277,3,24,participant3rightlowercase,20
405.5,277,3,12,participant3rightlowercase,20
405.5,278,3,15,participant3rightlowercase,20
405.5,279,3,16,participant3rightlowercase,20
405.5,280,3,17,participant3rightlowercase,20
405.5,281,3,16,participant3rightlowercase,20
405.5,282,3,25,participant3rightlowercase,20
405.5,283,3,19,participant3rightlowercase,20
405.5,284,3,16,participant3rightlowercase,20
405.5,285,3,16,participant3rightlowercase,20
405.5,286,3,20,participant3rightlowercase,20
405.5,287,3,38,participant3rightlowercase,20
405.5,288,3,16,participant3rightlowercase,20
405.5,289,3,17,participant3rightlowercase,20
405.5,290,3,17,participant3rightlowercase,20
405.5,291,3,28,participant3rightlowercase,20
405.5,293,3,38,participant3rightlowercase,20
405.5,294,3,17,participant3rightlowercase,20
405.5,295,3,17,participant3rightlowercase,20
405.5,296,3,16,participant3rightlowercase,20
405.5,297,3,17,participant3rightlowercase,20
405.5,298,3,17,participant3rightlowercase,20
405.5,299,3,16,participant3rightlowercase,20
405.5,300,3,17,participant3rightlowercase,20
405.5,301,3,17,participant3rightlowercase,20
405.5,302,3,17,participant3rightlowercase,20
405.5,304,3,16,participant3rightlowercase,20
405.5,305,3,19,participant3rightlowercase,20
405.5,306,3,20,participant3rightlowercase,20
405.5,307,3,16,participant3rightlowercase,20
406.5,307,3,12,participant3rightlowercase,20
406.5,308,3,16,participant3rightlowercase,20
406.5,309,3,17,participant3rightlowercase,20
405.5,310,3,17,participant3rightlowercase,20
405.5,311,3,16,participant3rightlowercase,20
405.5,312,3,17,participant3rightlowercase,20
405.5,313,3,17,participant3rightlowercase,20
405.5,314,3,16,participant3rightlowercase,20
405.5,315,3,17,participant3rightlowercase,20
405.5,316,3,27,participant3rightlowercase,20
405.5,317,3,40,participant3rightlowercase,20
405.5,318,3,16,participant3rightlowercase,20
405.5,319,3,17,participant3rightlowercase,20
405.5,320,3,17,participant3rightlowercase,20
405.5,321,3,16,participant3rightlowercase,20
405.5,323,3,17,participant3rightlowercase,20
405.5,324,3,17,participant3rightlowercase,20
404.5,325,3,16,participant3rightlowercase,20
404.5,327,3,17,participant3rightlowercase,20
404.5,329,3,17,participant3rightlowercase,20
404.5,330,3,16,participant3rightlowercase,20
404.5,331,3,17,participant3rightlowercase,20
404.5,332,3,17,participant3rightlowercase,20
405.5,333,3,16,participant3rightlowercase,20
405.5,334,3,20,participant3rightlowercase,20
406.5,334,3,24,participant3rightlowercase,20
406.5,335,3,6,participant3rightlowercase,20
406.5,336,3,17,participant3rightlowercase,20
407.5,337,3,17,participant3rightlowercase,20
408.5,338,3,16,participant3rightlowercase,20
408.5,340,3,17,participant3rightlowercase,20
409.5,341,3,17,participant3rightlowercase,20
410.5,342,3,16,participant3rightlowercase,20
410.5,343,3,31,participant3rightlowercase,20
411.5,343,3,7,participant3rightlowercase,20
411.5,344,3,12,participant3rightlowercase,20
412.5,345,3,17,participant3rightlowercase,20
412.5,346,3,17,participant3rightlowercase,20
413.5,347,3,17,participant3rightlowercase,20
413.5,348,3,16,participant3rightlowercase,20
414.5,348,3,17,participant3rightlowercase,20
414.5,349,3,16,participant3rightlowercase,20
415.5,349,3,17,participant3rightlowercase,20
415.5,350,3,17,participant3rightlowercase,20
