x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
316.5,174,1,46,particpant3leftupper,12
316.5,175,1,24,particpant3leftupper,12
316.5,176,1,20,particpant3leftupper,12
315.5,177,1,38,particpant3leftupper,12
315.5,178,1,18,particpant3leftupper,12
314.5,178,1,16,particpant3leftupper,12
314.5,179,1,16,particpant3leftupper,12
314.5,180,1,64,particpant3leftupper,12
314.5,181,1,36,particpant3leftupper,12
314.5,183,1,16,particpant3leftupper,12
314.5,185,1,17,particpant3leftupper,12
314.5,187,1,17,particpant3leftupper,12
314.5,190,1,16,particpant3leftupper,12
314.5,191,1,2,particpant3leftupper,12
315.5,193,1,15,particpant3leftupper,12
316.5,197,1,17,particpant3leftupper,12
317.5,201,1,16,particpant3leftupper,12
317.5,205,1,17,particpant3leftupper,12
318.5,208,1,17,particpant3leftupper,12
318.5,211,1,16,particpant3leftupper,12
318.5,214,1,17,particpant3leftupper,12
318.5,218,1,17,particpant3leftupper,12
318.5,221,1,16,particpant3leftupper,12
318.5,224,1,17,particpant3leftupper,12
318.5,225,1,17,particpant3leftupper,12
318.5,227,1,16,particpant3leftupper,12
318.5,229,1,17,particpant3leftupper,12
319.5,230,1,16,particpant3leftupper,12
318.5,232,1,17,particpant3leftupper,12
318.5,233,1,17,particpant3leftupper,12
318.5,234,1,16,particpant3leftupper,12
318.5,236,1,17,particpant3leftupper,12
318.5,238,1,17,particpant3leftupper,12
318.5,240,1,17,particpant3leftupper,12
318.5,243,1,16,particpant3leftupper,12
318.5,245,1,17,particpant3leftupper,12
318.5,247,1,17,particpant3leftupper,12
319.5,250,1,16,particpant3leftupper,12
319.5,251,1,17,particpant3leftupper,12
319.5,254,1,17,particpant3leftupper,12
319.5,256,1,16,particpant3leftupper,12
319.5,257,1,17,particpant3leftupper,12
319.5,258,1,17,particpant3leftupper,12
319.5,259,1,16,particpant3leftupper,12
319.5,260,1,17,particpant3leftupper,12
319.5,261,1,17,particpant3leftupper,12
319.5,263,1,16,particpant3leftupper,12
319.5,265,1,17,particpant3leftupper,12
319.5,267,1,17,particpant3leftupper,12
319.5,269,1,16,particpant3leftupper,12
319.5,271,1,17,particpant3leftupper,12
319.5,273,1,17,particpant3leftupper,12
319.5,275,1,16,particpant3leftupper,12
319.5,276,1,17,particpant3leftupper,12
319.5,278,1,16,particpant3leftupper,12
319.5,279,1,17,particpant3leftupper,12
319.5,281,1,17,particpant3leftupper,12
