x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
392.5,220,2,28,participant3rightupper,10
393.5,220,2,16,participant3rightupper,10
393.5,221,2,17,participant3rightupper,10
393.5,222,2,17,participant3rightupper,10
394.5,224,2,16,participant3rightupper,10
394.5,225,2,17,participant3rightupper,10
395.5,226,2,17,participant3rightupper,10
396.5,228,2,16,participant3rightupper,10
396.5,229,2,17,participant3rightupper,10
396.5,230,2,17,participant3rightupper,10
396.5,232,2,16,participant3rightupper,10
396.5,234,2,17,participant3rightupper,10
397.5,235,2,16,participant3rightupper,10
397.5,237,2,17,participant3rightupper,10
397.5,240,2,17,participant3rightupper,10
397.5,242,2,16,participant3rightupper,10
398.5,245,2,17,participant3rightupper,10
398.5,246,2,17,participant3rightupper,10
398.5,248,2,17,participant3rightupper,10
398.5,250,2,16,participant3rightupper,10
398.5,252,2,17,participant3rightupper,10
398.5,254,2,17,participant3rightupper,10
398.5,256,2,16,participant3rightupper,10
398.5,259,2,17,participant3rightupper,10
398.5,261,2,17,participant3rightupper,10
398.5,263,2,16,participant3rightupper,10
398.5,265,2,17,participant3rightupper,10
398.5,268,2,17,participant3rightupper,10
398.5,270,2,16,participant3rightupper,10
398.5,273,2,17,participant3rightupper,10
398.5,275,2,17,participant3rightupper,10
398.5,276,2,16,participant3rightupper,10
398.5,277,2,17,participant3rightupper,10
397.5,279,2,17,participant3rightupper,10
397.5,280,2,16,participant3rightupper,10
397.5,282,2,17,participant3rightupper,10
396.5,283,2,17,participant3rightupper,10
396.5,285,2,17,participant3rightupper,10
395.5,287,2,16,participant3rightupper,10
395.5,288,2,17,participant3rightupper,10
394.5,289,2,16,participant3rightupper,10
394.5,290,2,17,participant3rightupper,10
393.5,291,2,17,participant3rightupper,10
392.5,292,2,17,participant3rightupper,10
391.5,293,2,16,participant3rightupper,10
390.5,294,2,17,participant3rightupper,10
389.5,295,2,16,participant3rightupper,10
388.5,296,2,17,participant3rightupper,10
386.5,298,2,17,participant3rightupper,10
385.5,298,2,16,participant3rightupper,10
384.5,299,2,17,participant3rightupper,10
382.5,300,2,17,participant3rightupper,10
381.5,301,2,16,participant3rightupper,10
380.5,301,2,17,participant3rightupper,10
379.5,301,2,19,participant3rightupper,10
378.5,301,2,16,participant3rightupper,10
377.5,301,2,16,participant3rightupper,10
376.5,301,2,16,participant3rightupper,10
375.5,301,2,16,participant3rightupper,10
373.5,301,2,17,participant3rightupper,10
371.5,301,2,17,participant3rightupper,10
370.5,301,2,16,participant3rightupper,10
369.5,301,2,17,participant3rightupper,10
367.5,300,2,17,participant3rightupper,10
366.5,299,2,16,participant3rightupper,10
364.5,298,2,17,participant3rightupper,10
363.5,298,2,17,participant3rightupper,10
362.5,297,2,16,participant3rightupper,10
361.5,296,2,17,participant3rightupper,10
360.5,295,2,17,participant3rightupper,10
359.5,293,2,16,participant3rightupper,10
357.5,292,2,17,participant3rightupper,10
357.5,291,2,16,participant3rightupper,10
356.5,290,2,17,participant3rightupper,10
355.5,289,2,17,participant3rightupper,10
355.5,288,2,17,participant3rightupper,10
354.5,285,2,16,participant3rightupper,10
354.5,281,2,17,participant3rightupper,10
353.5,279,2,16,participant3rightupper,10
353.5,279,2,17,participant3rightupper,10
